
#   "250" UNIHAN

0xA8CA	0x99D0	# 駐 -- 250,312
0xA8CB	0x7621	# 瘡 -- 250,313
0xA8CC	0x66F0	# 曰 -- 250,314
0xA8CD	0x67CF	# 柏 -- 250,315
0xA8CE	0x51FD	# 函 -- 250,316
0xA8CF	0x63E1	# 握 -- 250,317
0xA8D0	0x6158	# 慘 -- 250,320
0xA8D1	0x5EF7	# 廷 -- 250,321
0xA8D2	0x6842	# 桂 -- 250,322
0xA8D3	0x4EC7	# 仇 -- 250,323
0xA8D4	0x4E1F	# 丟 -- 250,324
0xA8D5	0x6BBC	# 殼 -- 250,325
0xA8D6	0x9178	# 酸 -- 250,326
0xA8D7	0x805A	# 聚 -- 250,327
0xA8D8	0x5C62	# 屢 -- 250,330
0xA8D9	0x9F52	# 齒 -- 250,331
0xA8DA	0x6691	# 暑 -- 250,332
0xA8DB	0x5C16	# 尖 -- 250,333
0xA8DC	0x6279	# 批 -- 250,334
0xA8DD	0x5617	# 嘗 -- 250,335
0xA8DE	0x500D	# 倍 -- 250,336
0xA8DF	0x82D7	# 苗 -- 250,337
0xA8E0	0x5606	# 嘆 -- 250,340
0xA8E1	0x968E	# 階 -- 250,341
0xA8E2	0x6212	# 戒 -- 250,342
0xA8E3	0x81BD	# 膽 -- 250,343
0xA8E4	0x731C	# 猜 -- 250,344
0xA8E5	0x5984	# 妄 -- 250,345
0xA8E6	0x724C	# 牌 -- 250,346
0xA8E7	0x7832	# 砲 -- 250,347
0xA8E8	0x8D99	# 趙 -- 250,350
0xA8E9	0x62C6	# 拆 -- 250,351
0xA8EA	0x8205	# 舅 -- 250,352
0xA8EB	0x7BB1	# 箱 -- 250,353
0xA8EC	0x9E7F	# 鹿 -- 250,354
0xA8ED	0x8FB1	# 辱 -- 250,355
0xA8EE	0x755C	# 畜 -- 250,356
0xA8EF	0x8776	# 蝶 -- 250,357
0xA8F0	0x6258	# 托 -- 250,360
0xA8F1	0x5269	# 剩 -- 250,361
0xA8F2	0x5375	# 卵 -- 250,362
0xA8F3	0x8170	# 腰 -- 250,363
0xA8F4	0x52FF	# 勿 -- 250,364
0xA8F5	0x91CB	# 釋 -- 250,365
0xA8F6	0x53EC	# 召 -- 250,366
0xA8F7	0x6CC9	# 泉 -- 250,367
0xA8F8	0x6069	# 恩 -- 250,370
0xA8F9	0x4F10	# 伐 -- 250,371
0xA8FA	0x5B5D	# 孝 -- 250,372
0xA8FB	0x6F5B	# 潛 -- 250,373
0xA8FC	0x6F0F	# 漏 -- 250,374
0xA8FD	0x5BEE	# 寮 -- 250,375
0xA8FE	0x6280	# 技 -- 250,376
