
#   "251" UNIHAN

0xA9CA	0x50DE	# 僞 -- 251,312
0xA9CB	0x7C4C	# 籌 -- 251,313
0xA9CC	0x7D14	# 純 -- 251,314
0xA9CD	0x7C92	# 粒 -- 251,315
0xA9CE	0x6D6E	# 浮 -- 251,316
0xA9CF	0x8FEA	# 迪 -- 251,317
0xA9D0	0x5EDF	# 廟 -- 251,320
0xA9D1	0x6838	# 核 -- 251,321
0xA9D2	0x96B8	# 隸 -- 251,322
0xA9D3	0x616E	# 慮 -- 251,323
0xA9D4	0x83CC	# 菌 -- 251,324
0xA9D5	0x62FC	# 拼 -- 251,325
0xA9D6	0x5DFE	# 巾 -- 251,326
0xA9D7	0x8EAC	# 躬 -- 251,327
0xA9D8	0x611A	# 愚 -- 251,330
0xA9D9	0x7DE9	# 緩 -- 251,331
0xA9DA	0x5377	# 卷 -- 251,332
0xA9DB	0x7D2F	# 累 -- 251,333
0xA9DC	0x7C3F	# 簿 -- 251,334
0xA9DD	0x654D	# 敍 -- 251,335
0xA9DE	0x95E2	# 闢 -- 251,336
0xA9DF	0x8E7A	# 蹺 -- 251,337
0xA9E0	0x4F01	# 企 -- 251,340
0xA9E1	0x5C48	# 屈 -- 251,341
0xA9E2	0x727D	# 牽 -- 251,342
0xA9E3	0x5AB3	# 媳 -- 251,343
0xA9E4	0x7FBD	# 羽 -- 251,344
0xA9E5	0x7DA2	# 綢 -- 251,345
0xA9E6	0x8CDC	# 賜 -- 251,346
0xA9E7	0x845B	# 葛 -- 251,347
0xA9E8	0x6F06	# 漆 -- 251,350
0xA9E9	0x517C	# 兼 -- 251,351
0xA9EA	0x57F9	# 培 -- 251,352
0xA9EB	0x8CE0	# 賠 -- 251,353
0xA9EC	0x9234	# 鈴 -- 251,354
0xA9ED	0x5EDA	# 廚 -- 251,355
0xA9EE	0x947D	# 鑽 -- 251,356
0xA9EF	0x68F5	# 棵 -- 251,357
0xA9F0	0x8FD4	# 返 -- 251,360
0xA9F1	0x8C37	# 谷 -- 251,361
0xA9F2	0x7336	# 猶 -- 251,362
