
#   "241" UNIHAN

0xA1CF	0x5E38	# 常 -- 241,317
0xA1D0	0x767D	# 白 -- 241,320
0xA1D1	0x5404	# 各 -- 241,321
0xA1D2	0x5973	# 女 -- 241,322
0xA1D3	0x8D70	# 走 -- 241,323
0xA1D4	0x540D	# 名 -- 241,324
0xA1D5	0x9AD8	# 高 -- 241,325
0xA1D6	0x61C9	# 應 -- 241,326
0xA1D7	0x53EA	# 只 -- 241,327
0xA1D8	0x9032	# 進 -- 241,330
0xA1D9	0x624B	# 手 -- 241,331
0xA1DA	0x73FE	# 現 -- 241,332
0xA1DB	0x6700	# 最 -- 241,333
0xA1DC	0x7D66	# 給 -- 241,334
0xA1DD	0x5462	# 呢 -- 241,335
0xA1DE	0x807D	# 聽 -- 241,336
0xA1DF	0x5B98	# 官 -- 241,337
0xA1E0	0x5C71	# 山 -- 241,340
0xA1E1	0x7269	# 物 -- 241,341
0xA1E2	0x4ECA	# 今 -- 241,342
0xA1E3	0x5C07	# 將 -- 241,343
0xA1E4	0x592A	# 太 -- 241,344
0xA1E5	0x4E03	# 七 -- 241,345
0xA1E6	0x6C23	# 氣 -- 241,346
0xA1E7	0x5317	# 北 -- 241,347
0xA1E8	0x4F4D	# 位 -- 241,350
0xA1E9	0x653F	# 政 -- 241,351
0xA1EA	0x4F7F	# 使 -- 241,352
0xA1EB	0x771E	# 眞 -- 241,353
0xA1EC	0x7F8E	# 美 -- 241,354
0xA1ED	0x5BE6	# 實 -- 241,355
0xA1EE	0x53E3	# 口 -- 241,356
0xA1EF	0x7531	# 由 -- 241,357
0xA1F0	0x4E5D	# 九 -- 241,360
0xA1F1	0x6253	# 打 -- 241,361
0xA1F2	0x6B63	# 正 -- 241,362
0xA1F3	0x5357	# 南 -- 241,363
0xA1F4	0x90E8	# 部 -- 241,364
0xA1F5	0x8DEF	# 路 -- 241,365
0xA1F6	0x60C5	# 情 -- 241,366
0xA1F7	0x518D	# 再 -- 241,367
0xA1F8	0x65B0	# 新 -- 241,370
0xA1F9	0x5411	# 向 -- 241,371
0xA1FA	0x5176	# 其 -- 241,372
0xA1FB	0x9EDE	# 點 -- 241,373
0xA1FC	0x767E	# 百 -- 241,374
0xA1FD	0x9580	# 門 -- 241,375
0xA1FE	0x8072	# 聲 -- 241,376
