
#   "245" UNIHAN

0xA5CB	0x5EB7	# 康 -- 245,313
0xA5CC	0x7686	# 皆 -- 245,314
0xA5CD	0x68C9	# 棉 -- 245,315
0xA5CE	0x4F11	# 休 -- 245,316
0xA5CF	0x5C0B	# 尋 -- 245,317
0xA5D0	0x652F	# 支 -- 245,320
0xA5D1	0x59BB	# 妻 -- 245,321
0xA5D2	0x5BA3	# 宣 -- 245,322
0xA5D3	0x679D	# 枝 -- 245,323
0xA5D4	0x723A	# 爺 -- 245,324
0xA5D5	0x7A4D	# 積 -- 245,325
0xA5D6	0x8CA0	# 負 -- 245,326
0xA5D7	0x5E2D	# 席 -- 245,327
0xA5D8	0x5439	# 吹 -- 245,330
0xA5D9	0x8702	# 蜂 -- 245,331
0xA5DA	0x6416	# 搖 -- 245,332
0xA5DB	0x5E95	# 底 -- 245,333
0xA5DC	0x9EA5	# 麥 -- 245,334
0xA5DD	0x9700	# 需 -- 245,335
0xA5DE	0x677F	# 板 -- 245,336
0xA5DF	0x51AC	# 冬 -- 245,337
0xA5E0	0x838A	# 莊 -- 245,340
0xA5E1	0x653B	# 攻 -- 245,341
0xA5E2	0x684C	# 桌 -- 245,342
0xA5E3	0x559D	# 喝 -- 245,343
0xA5E4	0x6982	# 概 -- 245,344
0xA5E5	0x8166	# 腦 -- 245,345
0xA5E6	0x6236	# 戶 -- 245,346
0xA5E7	0x69CD	# 槍 -- 245,347
0xA5E8	0x6E38	# 游 -- 245,350
0xA5E9	0x88DC	# 補 -- 245,351
0xA5EA	0x6068	# 恨 -- 245,352
0xA5EB	0x7570	# 異 -- 245,353
0xA5EC	0x8840	# 血 -- 245,354
0xA5ED	0x6575	# 敵 -- 245,355
0xA5EE	0x5A01	# 威 -- 245,356
0xA5EF	0x96C4	# 雄 -- 245,357
0xA5F0	0x5713	# 圓 -- 245,360
0xA5F1	0x7518	# 甘 -- 245,361
0xA5F2	0x5EE0	# 廠 -- 245,362
0xA5F3	0x8C6C	# 豬 -- 245,363
0xA5F4	0x8C48	# 豈 -- 245,364
0xA5F5	0x52C7	# 勇 -- 245,365
0xA5F6	0x7AE0	# 章 -- 245,366
0xA5F7	0x53F3	# 右 -- 245,367
0xA5F8	0x7239	# 爹 -- 245,370
0xA5F9	0x7260	# 牠 -- 245,371
0xA5FA	0x5024	# 値 -- 245,372
0xA5FB	0x7BC4	# 範 -- 245,373
0xA5FC	0x7CD6	# 糖 -- 245,374
0xA5FD	0x6750	# 材 -- 245,375
0xA5FE	0x5347	# 升 -- 245,376
