
#   "323" UNIHAN

0xD3C8	0x6128	# 愨 -- 323,310
0xD3C9	0x7932	# 礲 -- 323,311
0xD3CA	0x8771	# 蝱 -- 323,312
0xD3CB	0x6747	# 杇 -- 323,313
0xD3CC	0x58D6	# 壖 -- 323,314
0xD3CD	0x5C20	# 尠 -- 323,315
0xD3CE	0x723F	# 爿 -- 323,316
0xD3CF	0x6332	# 挲 -- 323,317
0xD3D0	0x659A	# 斚 -- 323,320
0xD3D1	0x68D1	# 棑 -- 323,321
0xD3D2	0x72AB	# 犫 -- 323,322
0xD3D3	0x9186	# 醆 -- 323,323
0xD3D4	0x589D	# 墝 -- 323,324
0xD3D5	0x8935	# 褵 -- 323,325
0xD3D6	0x7D56	# 絖 -- 323,326
0xD3D7	0x7C34	# 簴 -- 323,327
0xD3D8	0x8A51	# 詑 -- 323,330
0xD3D9	0x982E	# 頮 -- 323,331
0xD3DA	0x979F	# 鞟 -- 323,332
0xD3DB	0x97B8	# 鞸 -- 323,333
0xD3DC	0x9A0C	# 騌 -- 323,334
0xD3DD	0x9C4F	# 鱏 -- 323,335
0xD3DE	0x763A	# 瘺 -- 323,336
0xD3DF	0x56CD	# 囍 -- 323,337
0xD3E0	0x5D52	# 嵒 -- 323,340
0xD3E1	0x6D07	# 洇 -- 323,341
0xD3E2	0x753D	# 甽 -- 323,342
0xD3E3	0x9A3B	# 騻 -- 323,343
0xD3E4	0x5EFC	# 廼 -- 323,344
0xD3E5	0x9E84	# 麄 -- 323,345
0xD3E6	0x9908	# 餈 -- 323,346
0xD3E7	0x82D8	# 苘 -- 323,347
0xD3E8	0x56D8	# 囘 -- 323,350
0xD3E9	0x53C5	# 叅 -- 323,351
0xD3EA	0x7702	# 眂 -- 323,352
0xD3EB	0x9475	# 鑵 -- 323,353
0xD3EC	0x91BC	# 醼 -- 323,354
0xD3ED	0x8FA5	# 辥 -- 323,355
0xD3EE	0x60A4	# 悤 -- 323,356
0xD3EF	0x8A4B	# 詋 -- 323,357
0xD3F0	0x7C68	# 籨 -- 323,360
0xD3F1	0x7346	# 獆 -- 323,361
0xD3F2	0x9816	# 頖 -- 323,362
0xD3F3	0x98E2	# 飢 -- 323,363
0xD3F4	0x5845	# 塅 -- 323,364
0xD3F5	0x583C	# 堼 -- 323,365
0xD3F6	0x5842	# 塂 -- 323,366
0xD3F7	0x53E0	# 叠 -- 323,367
0xD3F9	0x4E28	# 丨 -- 323,371
0xD3FA	0x4E36	# 丶 -- 323,372
0xD3FB	0x4E3F	# 丿 -- 323,373
0xD3FC	0x4E85	# 亅 -- 323,374
0xD3FD	0x4EA0	# 亠 -- 323,375
0xD3FE	0x513F	# 儿 -- 323,376
