
#   "246" UNIHAN

0xA6CA	0x8A0A	# 訊 -- 246,312
0xA6CB	0x80E1	# 胡 -- 246,313
0xA6CC	0x7926	# 礦 -- 246,314
0xA6CD	0x8056	# 聖 -- 246,315
0xA6CE	0x58C1	# 壁 -- 246,316
0xA6CF	0x9031	# 週 -- 246,317
0xA6D0	0x5BAE	# 宮 -- 246,320
0xA6D1	0x83AB	# 莫 -- 246,321
0xA6D2	0x5C3E	# 尾 -- 246,322
0xA6D3	0x66B4	# 暴 -- 246,323
0xA6D4	0x5A46	# 婆 -- 246,324
0xA6D5	0x502B	# 倫 -- 246,325
0xA6D6	0x5283	# 劃 -- 246,326
0xA6D7	0x8F9B	# 辛 -- 246,327
0xA6D8	0x98EE	# 飮 -- 246,330
0xA6D9	0x5BE7	# 寧 -- 246,331
0xA6DA	0x8A13	# 訓 -- 246,332
0xA6DB	0x676F	# 杯 -- 246,333
0xA6DC	0x5DDD	# 川 -- 246,334
0xA6DD	0x542B	# 含 -- 246,335
0xA6DE	0x9670	# 陰 -- 246,336
0xA6DF	0x9063	# 遣 -- 246,337
0xA6E0	0x8FAD	# 辭 -- 246,340
0xA6E1	0x4E08	# 丈 -- 246,341
0xA6E2	0x526F	# 副 -- 246,342
0xA6E3	0x5433	# 吳 -- 246,343
0xA6E4	0x8B00	# 謀 -- 246,344
0xA6E5	0x914D	# 配 -- 246,345
0xA6E6	0x984F	# 顏 -- 246,346
0xA6E7	0x526A	# 剪 -- 246,347
0xA6E8	0x9042	# 遂 -- 246,350
0xA6E9	0x76E4	# 盤 -- 246,351
0xA6EA	0x5B54	# 孔 -- 246,352
0xA6EB	0x9694	# 隔 -- 246,353
0xA6EC	0x68D2	# 棒 -- 246,354
0xA6ED	0x4FB5	# 侵 -- 246,355
0xA6EE	0x7981	# 禁 -- 246,356
0xA6EF	0x5976	# 奶 -- 246,357
0xA6F0	0x5077	# 偷 -- 246,360
0xA6F1	0x8EDF	# 軟 -- 246,361
0xA6F2	0x978B	# 鞋 -- 246,362
0xA6F3	0x888B	# 袋 -- 246,363
0xA6F4	0x73E0	# 珠 -- 246,364
0xA6F5	0x6CE2	# 波 -- 246,365
0xA6F6	0x7259	# 牙 -- 246,366
0xA6F7	0x722C	# 爬 -- 246,367
0xA6F8	0x4E59	# 乙 -- 246,370
0xA6F9	0x52E4	# 勤 -- 246,371
0xA6FA	0x9B6F	# 魯 -- 246,372
0xA6FB	0x512A	# 優 -- 246,373
0xA6FC	0x7F75	# 罵 -- 246,374
0xA6FD	0x535A	# 博 -- 246,375
0xA6FE	0x8FF0	# 述 -- 246,376
