
#   "247" UNIHAN

0xA7CA	0x8AA4	# 誤 -- 247,312
0xA7CB	0x5141	# 允 -- 247,313
0xA7CC	0x5954	# 奔 -- 247,314
0xA7CD	0x809A	# 肚 -- 247,315
0xA7CE	0x7E69	# 繩 -- 247,316
0xA7CF	0x90CE	# 郎 -- 247,317
0xA7D0	0x61F7	# 懷 -- 247,320
0xA7D1	0x8667	# 虧 -- 247,321
0xA7D2	0x5272	# 割 -- 247,322
0xA7D3	0x9589	# 閉 -- 247,323
0xA7D4	0x9010	# 逐 -- 247,324
0xA7D5	0x984D	# 額 -- 247,325
0xA7D6	0x9920	# 餠 -- 247,326
0xA7D7	0x7210	# 爐 -- 247,327
0xA7D8	0x64FA	# 擺 -- 247,330
0xA7D9	0x868A	# 蚊 -- 247,331
0xA7DA	0x8A73	# 詳 -- 247,332
0xA7DB	0x9072	# 遲 -- 247,333
0xA7DC	0x865B	# 虛 -- 247,334
0xA7DD	0x606D	# 恭 -- 247,335
0xA7DE	0x9F3B	# 鼻 -- 247,336
0xA7DF	0x9D09	# 鴉 -- 247,337
0xA7E0	0x61B2	# 憲 -- 247,340
0xA7E1	0x7A81	# 突 -- 247,341
0xA7E2	0x79C0	# 秀 -- 247,342
0xA7E3	0x5806	# 堆 -- 247,343
0xA7E4	0x9913	# 餓 -- 247,344
0xA7E5	0x64E6	# 擦 -- 247,345
0xA7E6	0x4ECB	# 介 -- 247,346
0xA7E7	0x4F54	# 佔 -- 247,347
0xA7E8	0x4E95	# 井 -- 247,350
0xA7E9	0x6247	# 扇 -- 247,351
0xA7EA	0x8A55	# 評 -- 247,352
0xA7EB	0x8CCA	# 賊 -- 247,353
0xA7EC	0x6108	# 愈 -- 247,354
0xA7ED	0x4EAB	# 享 -- 247,355
0xA7EE	0x7763	# 督 -- 247,356
0xA7EF	0x78E8	# 磨 -- 247,357
0xA7F0	0x798D	# 禍 -- 247,360
0xA7F1	0x7372	# 獲 -- 247,361
0xA7F2	0x72AF	# 犯 -- 247,362
0xA7F3	0x5BA6	# 宦 -- 247,363
0xA7F4	0x5957	# 套 -- 247,364
0xA7F5	0x85A9	# 薩 -- 247,365
0xA7F6	0x7F3A	# 缺 -- 247,366
0xA7F7	0x80A1	# 股 -- 247,367
0xA7F8	0x7D22	# 索 -- 247,370
0xA7F9	0x5287	# 劇 -- 247,371
0xA7FA	0x57F7	# 執 -- 247,372
0xA7FB	0x6F01	# 漁 -- 247,373
0xA7FC	0x67D3	# 染 -- 247,374
0xA7FD	0x5360	# 占 -- 247,375
0xA7FE	0x8C9D	# 貝 -- 247,376
