
#   "315" UNIHAN

0xCDC4	0x76AA	# 皪 -- 315,304
0xCDC5	0x76F0	# 盰 -- 315,305
0xCDC6	0x771B	# 眛 -- 315,306
0xCDC7	0x9F34	# 鼴 -- 315,307
0xCDC8	0x7739	# 眹 -- 315,310
0xCDC9	0x77B6	# 瞶 -- 315,311
0xCDCA	0x77FC	# 矼 -- 315,312
0xCDCB	0x782E	# 砮 -- 315,313
0xCDCC	0x7934	# 礴 -- 315,314
0xCDCD	0x78B1	# 碱 -- 315,315
0xCDCE	0x79A1	# 禡 -- 315,316
0xCDCF	0x799D	# 禝 -- 315,317
0xCDD0	0x79BB	# 离 -- 315,320
0xCDD1	0x79C8	# 秈 -- 315,321
0xCDD2	0x9B4B	# 魋 -- 315,322
0xCDD3	0x7A8A	# 窊 -- 315,323
0xCDD4	0x7ADD	# 竝 -- 315,324
0xCDD5	0x7B72	# 筲 -- 315,325
0xCDD6	0x7B9B	# 箛 -- 315,326
0xCDD7	0x7B98	# 箘 -- 315,327
0xCDD8	0x7BAF	# 箯 -- 315,330
0xCDD9	0x7BE7	# 篧 -- 315,331
0xCDDA	0x7C54	# 籔 -- 315,332
0xCDDB	0x7C79	# 籹 -- 315,333
0xCDDC	0x7CA7	# 粧 -- 315,334
0xCDDD	0x7CF3	# 糳 -- 315,335
0xCDDE	0x7CF5	# 糵 -- 315,336
0xCDDF	0x795B	# 祛 -- 315,337
0xCDE0	0x7DDA	# 線 -- 315,340
0xCDE1	0x7FEF	# 翯 -- 315,341
0xCDE2	0x7D5D	# 絝 -- 315,342
0xCDE3	0x7D91	# 綑 -- 315,343
0xCDE4	0x7DAB	# 綫 -- 315,344
0xCDE5	0x7DC5	# 緅 -- 315,345
0xCDE6	0x7E0F	# 縏 -- 315,346
0xCDE7	0x7E33	# 縳 -- 315,347
0xCDE8	0x7E86	# 纆 -- 315,350
0xCDE9	0x5EE9	# 廩 -- 315,351
0xCDEA	0x7FCA	# 翊 -- 315,352
0xCDEB	0x803D	# 耽 -- 315,353
0xCDEC	0x9D21	# 鴡 -- 315,354
