
#   "252" UNIHAN

0xAAC6	0x9A30	# 騰 -- 252,306
0xAAC7	0x7A00	# 稀 -- 252,307
0xAAC8	0x9676	# 陶 -- 252,310
0xAAC9	0x8404	# 萄 -- 252,311
0xAACA	0x8CC8	# 賈 -- 252,312
0xAACB	0x9075	# 遵 -- 252,313
0xAACC	0x5951	# 契 -- 252,314
0xAACD	0x8D74	# 赴 -- 252,315
0xAACE	0x638F	# 掏 -- 252,316
0xAACF	0x60F1	# 惱 -- 252,317
0xAAD0	0x86D9	# 蛙 -- 252,320
0xAAD1	0x8266	# 艦 -- 252,321
0xAAD2	0x8212	# 舒 -- 252,322
0xAAD3	0x541E	# 吞 -- 252,323
0xAAD4	0x64EC	# 擬 -- 252,324
0xAAD5	0x80A9	# 肩 -- 252,325
0xAAD6	0x67F1	# 柱 -- 252,326
0xAAD7	0x6200	# 戀 -- 252,327
0xAAD8	0x6EF4	# 滴 -- 252,330
0xAAD9	0x5893	# 墓 -- 252,331
0xAADA	0x5429	# 吩 -- 252,332
0xAADB	0x775C	# 睜 -- 252,333
0xAADC	0x5F0A	# 弊 -- 252,334
0xAADD	0x62CB	# 拋 -- 252,335
0xAADE	0x62D8	# 拘 -- 252,336
0xAADF	0x4F50	# 佐 -- 252,337
0xAAE0	0x722A	# 爪 -- 252,340
0xAAE1	0x9189	# 醉 -- 252,341
0xAAE2	0x4F0F	# 伏 -- 252,342
0xAAE3	0x95CA	# 闊 -- 252,343
0xAAE4	0x81D8	# 臘 -- 252,344
0xAAE5	0x82BD	# 芽 -- 252,345
0xAAE6	0x808C	# 肌 -- 252,346
0xAAE7	0x5582	# 喂 -- 252,347
0xAAE8	0x7AED	# 竭 -- 252,350
0xAAE9	0x8CD3	# 賓 -- 252,351
0xAAEA	0x6028	# 怨 -- 252,352
0xAAEB	0x5EAB	# 庫 -- 252,353
0xAAEC	0x64AB	# 撫 -- 252,354
0xAAED	0x7206	# 爆 -- 252,355
0xAAEE	0x966A	# 陪 -- 252,356
0xAAEF	0x52AB	# 劫 -- 252,357
0xAAF0	0x5854	# 塔 -- 252,360
0xAAF2	0x4F8D	# 侍 -- 252,362
0xAAF3	0x6FC3	# 濃 -- 252,363
0xAAF4	0x659C	# 斜 -- 252,364
0xAAF5	0x5875	# 塵 -- 252,365
0xAAF6	0x5F13	# 弓 -- 252,366
0xAAF7	0x59E8	# 姨 -- 252,367
0xAAF8	0x7E8F	# 纏 -- 252,370
0xAAF9	0x68E7	# 棧 -- 252,371
0xAAFA	0x7109	# 焉 -- 252,372
0xAAFB	0x7A74	# 穴 -- 252,373
0xAAFC	0x5F7F	# 彿 -- 252,374
0xAAFD	0x79E9	# 秩 -- 252,375
0xAAFE	0x6B3D	# 欽 -- 252,376
