
#   "307" UNIHAN

0xC7C8	0x9674	# 陴 -- 307,310
0xC7C9	0x9689	# 隉 -- 307,311
0xC7CA	0x967B	# 陻 -- 307,312
0xC7CB	0x9683	# 隃 -- 307,313
0xC7CC	0x96A4	# 隤 -- 307,314
0xC7CD	0x96A9	# 隩 -- 307,315
0xC7CE	0x96AE	# 隮 -- 307,316
0xC7CF	0x96CE	# 雎 -- 307,317
0xC7D0	0x96CA	# 雊 -- 307,320
0xC7D1	0x96D2	# 雒 -- 307,321
0xC7D2	0x96D8	# 雘 -- 307,322
0xC7D3	0x96DD	# 雝 -- 307,323
0xC7D4	0x96E9	# 雩 -- 307,324
0xC7D5	0x96F1	# 雱 -- 307,325
0xC7D6	0x9724	# 霤 -- 307,326
0xC7D7	0x9728	# 霨 -- 307,327
0xC7D8	0x9736	# 霶 -- 307,330
0xC7D9	0x975A	# 靚 -- 307,331
0xC7DA	0x9767	# 靧 -- 307,332
0xC7DB	0x9777	# 靷 -- 307,333
0xC7DC	0x9778	# 靸 -- 307,334
0xC7DD	0x9789	# 鞉 -- 307,335
0xC7DE	0x97AE	# 鞮 -- 307,336
0xC7DF	0x97B6	# 鞶 -- 307,337
0xC7E0	0x97B9	# 鞹 -- 307,340
0xC7E1	0x977A	# 靺 -- 307,341
0xC7E2	0x97C9	# 韉 -- 307,342
0xC7E3	0x97CE	# 韎 -- 307,343
0xC7E4	0x97CD	# 韍 -- 307,344
0xC7E5	0x97D0	# 韐 -- 307,345
0xC7E6	0x97D4	# 韔 -- 307,346
0xC7E7	0x97DD	# 韝 -- 307,347
0xC7E8	0x97E0	# 韠 -- 307,350
0xC7E9	0x980A	# 頊 -- 307,351
0xC7EA	0x980D	# 頍 -- 307,352
0xC7EB	0x980E	# 頎 -- 307,353
0xC7EC	0x981E	# 頞 -- 307,354
0xC7ED	0x982B	# 頫 -- 307,355
0xC7EE	0x9832	# 頲 -- 307,356
0xC7EF	0x9865	# 顥 -- 307,357
0xC7F0	0x9866	# 顦 -- 307,360
0xC7F1	0x98AD	# 颭 -- 307,361
0xC7F2	0x98B8	# 颸 -- 307,362
0xC7F3	0x98BF	# 颿 -- 307,363
0xC7F4	0x98C0	# 飀 -- 307,364
0xC7F5	0x98E3	# 飣 -- 307,365
0xC7F6	0x70CA	# 烊 -- 307,366
0xC7F7	0x98E7	# 飧 -- 307,367
0xC7F8	0x9902	# 餂 -- 307,370
0xC7F9	0x9914	# 餔 -- 307,371
0xC7FA	0x9916	# 餖 -- 307,372
0xC7FB	0x9915	# 餕 -- 307,373
0xC7FC	0x991F	# 餟 -- 307,374
0xC7FD	0x991C	# 餜 -- 307,375
0xC7FE	0x991A	# 餚 -- 307,376
