
#   "310" UNIHAN

0xC8C5	0x5414	# 吔 -- 310,305
0xC8C6	0x5430	# 吰 -- 310,306
0xC8C7	0x542A	# 吪 -- 310,307
0xC8C8	0x5467	# 呧 -- 310,310
0xC8C9	0x549F	# 咟 -- 310,311
0xC8CA	0x550E	# 唎 -- 310,312
0xC8CB	0x5508	# 唈 -- 310,313
0xC8CC	0x54E4	# 哤 -- 310,314
0xC8CD	0x558C	# 喌 -- 310,315
0xC8CE	0x55C0	# 嗀 -- 310,316
0xC8CF	0x55C8	# 嗈 -- 310,317
0xC8D0	0x55CA	# 嗊 -- 310,320
0xC8D1	0x55C3	# 嗃 -- 310,321
0xC8D2	0x560C	# 嘌 -- 310,322
0xC8D3	0x561C	# 嘜 -- 310,323
0xC8D4	0x55FF	# 嗿 -- 310,324
0xC8D5	0x564F	# 噏 -- 310,325
0xC8D6	0x5673	# 噳 -- 310,326
0xC8D7	0x56E5	# 囥 -- 310,327
0xC8D8	0x570C	# 圌 -- 310,330
0xC8D9	0x5787	# 垇 -- 310,331
0xC8DA	0x576D	# 坭 -- 310,332
0xC8DB	0x5771	# 坱 -- 310,333
0xC8DC	0x5774	# 坴 -- 310,334
0xC8DD	0x578C	# 垌 -- 310,335
0xC8DE	0x57C7	# 埇 -- 310,336
0xC8DF	0x579F	# 垟 -- 310,337
0xC8E0	0x57B8	# 垸 -- 310,340
0xC8E1	0x57DD	# 埝 -- 310,341
0xC8E2	0x57E6	# 埦 -- 310,342
0xC8E3	0x580C	# 堌 -- 310,343
0xC8E4	0x57F0	# 埰 -- 310,344
0xC8E5	0x57D7	# 埗 -- 310,345
0xC8E6	0x5828	# 堨 -- 310,346
0xC8E7	0x580E	# 堎 -- 310,347
0xC8E8	0x5804	# 堄 -- 310,350
0xC8E9	0x580B	# 堋 -- 310,351
0xC8EA	0x5832	# 堲 -- 310,352
0xC8EB	0x5833	# 堳 -- 310,353
0xC8EC	0x583F	# 堿 -- 310,354
0xC8ED	0x584E	# 塎 -- 310,355
0xC8EE	0x5865	# 塥 -- 310,356
0xC8EF	0x585D	# 塝 -- 310,357
0xC8F0	0x5884	# 墄 -- 310,360
0xC8F1	0x58AB	# 墫 -- 310,361
0xC8F2	0x6C5C	# 汜 -- 310,362
0xC8F3	0x58CB	# 壋 -- 310,363
0xC8F4	0x5905	# 夅 -- 310,364
0xC8F5	0x593C	# 夼 -- 310,365
0xC8F6	0x5953	# 奓 -- 310,366
0xC8F7	0x595C	# 奜 -- 310,367
0xC8F8	0x5970	# 奰 -- 310,370
0xC8F9	0x59B5	# 妵 -- 310,371
0xC8FA	0x59B8	# 妸 -- 310,372
0xC8FB	0x80BD	# 肽 -- 310,373
0xC8FC	0x59DE	# 姞 -- 310,374
0xC8FD	0x5A2C	# 娬 -- 310,375
0xC8FE	0x5A12	# 娒 -- 310,376
