
#   "243" UNIHAN

0xA3CC	0x5373	# 即 -- 243,314
0xA3CD	0x8A8D	# 認 -- 243,315
0xA3CE	0x6FDF	# 濟 -- 243,316
0xA3CF	0x7247	# 片 -- 243,317
0xA3D0	0x990A	# 養 -- 243,320
0xA3D1	0x91CF	# 量 -- 243,321
0xA3D3	0x5FFD	# 忽 -- 243,323
0xA3D4	0x822C	# 般 -- 243,324
0xA3D5	0x5305	# 包 -- 243,325
0xA3D6	0x4EF6	# 件 -- 243,326
0xA3D7	0x8349	# 草 -- 243,327
0xA3D8	0x6F22	# 漢 -- 243,330
0xA3D9	0x723E	# 爾 -- 243,331
0xA3DA	0x904D	# 遍 -- 243,332
0xA3DB	0x6232	# 戲 -- 243,333
0xA3DC	0x8AF8	# 諸 -- 243,334
0xA3DD	0x8AB0	# 誰 -- 243,335
0xA3DE	0x7ADF	# 竟 -- 243,336
0xA3DF	0x65E2	# 既 -- 243,337
0xA3E0	0x9109	# 鄉 -- 243,340
0xA3E1	0x80AF	# 肯 -- 243,341
0xA3E2	0x6839	# 根 -- 243,342
0xA3E3	0x514D	# 免 -- 243,343
0xA3E4	0x722D	# 爭 -- 243,344
0xA3E5	0x5468	# 周 -- 243,345
0xA3E6	0x5566	# 啦 -- 243,346
0xA3E7	0x55AE	# 單 -- 243,347
0xA3E8	0x7A7F	# 穿 -- 243,350
0xA3E9	0x584A	# 塊 -- 243,351
0xA3EA	0x521D	# 初 -- 243,352
0xA3EB	0x91CC	# 里 -- 243,353
0xA3EC	0x76E1	# 盡 -- 243,354
0xA3ED	0x8846	# 衆 -- 243,355
0xA3EE	0x6BDB	# 毛 -- 243,356
0xA3EF	0x6B72	# 歲 -- 243,357
0xA3F0	0x8089	# 肉 -- 243,360
0xA3F1	0x9F4A	# 齊 -- 243,361
0xA3F2	0x96C6	# 集 -- 243,362
0xA3F3	0x5DDE	# 州 -- 243,363
0xA3F4	0x843D	# 落 -- 243,364
0xA3F5	0x6025	# 急 -- 243,365
0xA3F6	0x5047	# 假 -- 243,366
0xA3F7	0x63A8	# 推 -- 243,367
0xA3F8	0x7968	# 票 -- 243,370
0xA3F9	0x7834	# 破 -- 243,371
0xA3FA	0x7537	# 男 -- 243,372
0xA3FB	0x5531	# 唱 -- 243,373
0xA3FC	0x5553	# 啓 -- 243,374
0xA3FD	0x611F	# 感 -- 243,375
0xA3FE	0x554A	# 啊 -- 243,376
