
#   "306" UNIHAN

0xC6CB	0x88F0	# 裰 -- 306,313
0xC6CC	0x8927	# 褧 -- 306,314
0xC6CD	0x895B	# 襛 -- 306,315
0xC6CE	0x895D	# 襝 -- 306,316
0xC6CF	0x8966	# 襦 -- 306,317
0xC6D0	0x8965	# 襥 -- 306,320
0xC6D1	0x896E	# 襮 -- 306,321
0xC6D2	0x896D	# 襭 -- 306,322
0xC6D3	0x897C	# 襼 -- 306,323
0xC6D4	0x899C	# 覜 -- 306,324
0xC6D5	0x89B5	# 覵 -- 306,325
0xC6D6	0x89BC	# 覼 -- 306,326
0xC6D7	0x89E9	# 觩 -- 306,327
0xC6D8	0x89ED	# 觭 -- 306,330
0xC6D9	0x89F1	# 觱 -- 306,331
0xC6DA	0x89F6	# 觶 -- 306,332
0xC6DB	0x8A07	# 訇 -- 306,333
0xC6DC	0x8A11	# 訑 -- 306,334
0xC6DD	0x8A22	# 訢 -- 306,335
0xC6DE	0x8A29	# 訩 -- 306,336
0xC6DF	0x8A27	# 訧 -- 306,337
0xC6E0	0x8A56	# 詖 -- 306,340
0xC6E1	0x8A58	# 詘 -- 306,341
0xC6E2	0x8A57	# 詗 -- 306,342
0xC6E3	0x8A7F	# 詿 -- 306,343
0xC6E4	0x8A75	# 詵 -- 306,344
0xC6E5	0x8A7B	# 詻 -- 306,345
0xC6E6	0x8ABE	# 誾 -- 306,346
0xC6E7	0x8AC6	# 諆 -- 306,347
0xC6E8	0x8AD0	# 諐 -- 306,350
0xC6E9	0x8ADF	# 諟 -- 306,351
0xC6EA	0x8AE0	# 諠 -- 306,352
0xC6EB	0x8AF4	# 諴 -- 306,353
0xC6EC	0x8B0F	# 謏 -- 306,354
0xC6ED	0x8B59	# 譙 -- 306,355
0xC6EE	0x8B5F	# 譟 -- 306,356
0xC6EF	0x8B4D	# 譍 -- 306,357
0xC6F0	0x8B78	# 譸 -- 306,360
0xC6F1	0x8B7E	# 譾 -- 306,361
0xC6F2	0x8B8B	# 讋 -- 306,362
0xC6F3	0x8B99	# 讙 -- 306,363
0xC6F4	0x8C4B	# 豋 -- 306,364
0xC6F5	0x8C4F	# 豏 -- 306,365
0xC6F6	0x8C57	# 豗 -- 306,366
0xC6F7	0x8C5D	# 豝 -- 306,367
0xC6F8	0x8C5C	# 豜 -- 306,370
0xC6F9	0x8C68	# 豨 -- 306,371
0xC6FA	0x8C6D	# 豭 -- 306,372
0xC6FB	0x8C75	# 豵 -- 306,373
0xC6FC	0x8C76	# 豶 -- 306,374
0xC6FD	0x8C7B	# 豻 -- 306,375
0xC6FE	0x8C86	# 貆 -- 306,376
