
#   "313" UNIHAN

0xCBC4	0x85FE	# 藾 -- 313,304
0xCBC5	0x861E	# 蘞 -- 313,305
0xCBC6	0x8622	# 蘢 -- 313,306
0xCBC7	0x8649	# 虉 -- 313,307
0xCBC8	0x8666	# 虦 -- 313,310
0xCBC9	0x868D	# 蚍 -- 313,311
0xCBCA	0x86B3	# 蚳 -- 313,312
0xCBCB	0x8692	# 蚒 -- 313,313
0xCBCC	0x86D3	# 蛓 -- 313,314
0xCBCD	0x86D1	# 蛑 -- 313,315
0xCBCE	0x86E3	# 蛣 -- 313,316
0xCBCF	0x5B3F	# 嬿 -- 313,317
0xCBD0	0x876F	# 蝯 -- 313,320
0xCBD1	0x6A96	# 檖 -- 313,321
0xCBD2	0x8753	# 蝓 -- 313,322
0xCBD3	0x874F	# 蝏 -- 313,323
0xCBD4	0x8789	# 螉 -- 313,324
0xCBD5	0x87A5	# 螥 -- 313,325
0xCBD6	0x87B1	# 螱 -- 313,326
0xCBD7	0x87ED	# 蟭 -- 313,327
0xCBD8	0x8801	# 蠁 -- 313,330
0xCBD9	0x87FF	# 蟿 -- 313,331
0xCBDA	0x8819	# 蠙 -- 313,332
0xCBDB	0x882E	# 蠮 -- 313,333
0xCBDC	0x8887	# 袇 -- 313,334
0xCBDD	0x889A	# 袚 -- 313,335
0xCBDE	0x88B2	# 袲 -- 313,336
0xCBDF	0x88BA	# 袺 -- 313,337
0xCBE0	0x88BF	# 袿 -- 313,340
0xCBE1	0x88CB	# 裋 -- 313,341
0xCBE2	0x8915	# 褕 -- 313,342
0xCBE3	0x8909	# 褉 -- 313,343
0xCBE4	0x893D	# 褽 -- 313,344
0xCBE5	0x8954	# 襔 -- 313,345
0xCBE6	0x895A	# 襚 -- 313,346
0xCBE7	0x894F	# 襏 -- 313,347
0xCBE8	0x8961	# 襡 -- 313,350
0xCBE9	0x895C	# 襜 -- 313,351
0xCBEA	0x894B	# 襋 -- 313,352
0xCBEB	0x89E1	# 觡 -- 313,353
0xCBEC	0x89F7	# 觷 -- 313,354
0xCBED	0x8A06	# 訆 -- 313,355
0xCBEE	0x8A49	# 詉 -- 313,356
0xCBEF	0x8A3D	# 訽 -- 313,357
0xCBF0	0x8A7E	# 詾 -- 313,360
0xCBF1	0x8A4A	# 詊 -- 313,361
0xCBF2	0x8A82	# 誂 -- 313,362
0xCBF3	0x8A68	# 詨 -- 313,363
0xCBF4	0x8A90	# 誐 -- 313,364
0xCBF5	0x8ADD	# 諝 -- 313,365
0xCBF6	0x8AF5	# 諵 -- 313,366
0xCBF7	0x8B37	# 謷 -- 313,367
0xCBF8	0x8B06	# 謆 -- 313,370
0xCBF9	0x8B48	# 譈 -- 313,371
0xCBFA	0x8B52	# 譒 -- 313,372
0xCBFB	0x8B45	# 譅 -- 313,373
0xCBFC	0x8B91	# 讑 -- 313,374
0xCBFD	0x8B9B	# 讛 -- 313,375
0xCBFE	0x8C52	# 豒 -- 313,376
