
#   "256" UNIHAN

0xAEC5	0x5D0E	# 崎 -- 256,305
0xAEC6	0x63C9	# 揉 -- 256,306
0xAEC7	0x54E8	# 哨 -- 256,307
0xAEC8	0x8304	# 茄 -- 256,310
0xAEC9	0x8DBE	# 趾 -- 256,311
0xAECA	0x80AA	# 肪 -- 256,312
0xAECB	0x573E	# 圾 -- 256,313
0xAECC	0x8C79	# 豹 -- 256,314
0xAECD	0x64CE	# 擎 -- 256,315
0xAECE	0x95C6	# 闆 -- 256,316
0xAECF	0x92C1	# 鋁 -- 256,317
0xAED0	0x92B2	# 銲 -- 256,320
0xAED1	0x9209	# 鈉 -- 256,321
0xAED2	0x8E66	# 蹦 -- 256,322
0xAED3	0x59AE	# 妮 -- 256,323
0xAED4	0x5345	# 卅 -- 256,324
0xAED5	0x9A5F	# 驟 -- 256,325
0xAED6	0x905C	# 遜 -- 256,326
0xAED7	0x896A	# 襪 -- 256,327
0xAED8	0x77E9	# 矩 -- 256,330
0xAED9	0x96D5	# 雕 -- 256,331
0xAEDA	0x75D5	# 痕 -- 256,332
0xAEDB	0x5BB5	# 宵 -- 256,333
0xAEDC	0x6CDB	# 泛 -- 256,334
0xAEDD	0x535C	# 卜 -- 256,335
0xAEDE	0x69F3	# 槳 -- 256,336
0xAEDF	0x81A8	# 膨 -- 256,337
0xAEE0	0x6C83	# 沃 -- 256,340
0xAEE1	0x5D16	# 崖 -- 256,341
0xAEE2	0x6664	# 晤 -- 256,342
0xAEE3	0x584C	# 塌 -- 256,343
0xAEE4	0x81FC	# 臼 -- 256,344
0xAEE5	0x5BDE	# 寞 -- 256,345
0xAEE6	0x7F55	# 罕 -- 256,346
0xAEE7	0x9F90	# 龐 -- 256,347
0xAEE8	0x968B	# 隋 -- 256,350
0xAEE9	0x6F31	# 漱 -- 256,351
0xAEEA	0x86E4	# 蛤 -- 256,352
0xAEEB	0x8B41	# 譁 -- 256,353
0xAEEC	0x87CB	# 蟋 -- 256,354
0xAEED	0x9336	# 錶 -- 256,355
0xAEEE	0x5783	# 垃 -- 256,356
0xAEEF	0x87C0	# 蟀 -- 256,357
0xAEF0	0x92B3	# 銳 -- 256,360
0xAEF1	0x76C8	# 盈 -- 256,361
0xAEF2	0x56CA	# 囊 -- 256,362
0xAEF3	0x978F	# 鞏 -- 256,363
0xAEF4	0x6514	# 攔 -- 256,364
0xAEF5	0x6CBD	# 沽 -- 256,365
0xAEF6	0x8932	# 褲 -- 256,366
0xAEF7	0x6F88	# 澈 -- 256,367
0xAEF8	0x8A87	# 誇 -- 256,370
0xAEF9	0x9017	# 逗 -- 256,371
0xAEFA	0x58E9	# 壩 -- 256,372
0xAEFB	0x4F51	# 佑 -- 256,373
0xAEFC	0x51B6	# 冶 -- 256,374
0xAEFD	0x5992	# 妒 -- 256,375
0xAEFE	0x5B9B	# 宛 -- 256,376
