
#   "265" UNIHAN

0xB5C8	0x8E76	# 蹶 -- 265,310
0xB5C9	0x8F1F	# 輟 -- 265,311
0xB5CA	0x8FD3	# 迓 -- 265,312
0xB5CB	0x5E96	# 庖 -- 265,313
0xB5CC	0x4EC4	# 仄 -- 265,314
0xB5CD	0x50C9	# 僉 -- 265,315
0xB5CE	0x6083	# 悃 -- 265,316
0xB5CF	0x7F79	# 罹 -- 265,317
0xB5D0	0x8B10	# 謐 -- 265,320
0xB5D1	0x66F7	# 曷 -- 265,321
0xB5D2	0x534D	# 卍 -- 265,322
0xB5D3	0x536F	# 卯 -- 265,323
0xB5D4	0x574D	# 坍 -- 265,324
0xB5D5	0x5C38	# 尸 -- 265,325
0xB5D6	0x5ED1	# 廑 -- 265,326
0xB5D7	0x6043	# 恃 -- 265,327
0xB5D8	0x63E3	# 揣 -- 265,330
0xB5D9	0x642A	# 搪 -- 265,331
0xB5DA	0x67D2	# 柒 -- 265,332
0xB5DB	0x6DC6	# 淆 -- 265,333
0xB5DC	0x75E7	# 痧 -- 265,334
0xB5DD	0x7E10	# 縐 -- 265,335
0xB5DE	0x8129	# 脩 -- 265,336
0xB5DF	0x8222	# 舢 -- 265,337
0xB5E0	0x86D4	# 蛔 -- 265,340
0xB5E1	0x8856	# 衖 -- 265,341
0xB5E2	0x9776	# 靶 -- 265,342
0xB5E3	0x571C	# 圜 -- 265,343
0xB5E4	0x5DF3	# 巳 -- 265,344
0xB5E5	0x5DF5	# 巵 -- 265,345
0xB5E6	0x609E	# 悞 -- 265,346
0xB5E7	0x7ADA	# 竚 -- 265,347
0xB5E8	0x7433	# 琳 -- 265,350
0xB5E9	0x717D	# 煽 -- 265,351
0xB5EA	0x4F09	# 伉 -- 265,352
0xB5EB	0x619A	# 憚 -- 265,353
0xB5EC	0x7028	# 瀨 -- 265,354
0xB5ED	0x6194	# 憔 -- 265,355
0xB5EE	0x4F96	# 侖 -- 265,356
0xB5EF	0x5E5B	# 幛 -- 265,357
0xB5F0	0x90C1	# 郁 -- 265,360
0xB5F1	0x6EF8	# 滸 -- 265,361
0xB5F2	0x6E25	# 渥 -- 265,362
0xB5F3	0x64E2	# 擢 -- 265,363
0xB5F4	0x66E6	# 曦 -- 265,364
0xB5F5	0x7064	# 灤 -- 265,365
0xB5F6	0x8EA1	# 躡 -- 265,366
0xB5F7	0x5029	# 倩 -- 265,367
0xB5F8	0x739F	# 玟 -- 265,370
0xB5F9	0x5914	# 夔 -- 265,371
0xB5FA	0x58DF	# 壟 -- 265,372
0xB5FB	0x86FB	# 蛻 -- 265,373
0xB5FC	0x923E	# 鈾 -- 265,374
0xB5FD	0x8214	# 舔 -- 265,375
0xB5FE	0x8815	# 蠕 -- 265,376
