
#   "302" UNIHAN

0xC2CA	0x5B45	# 孅 -- 302,312
0xC2CB	0x5BAC	# 宬 -- 302,313
0xC2CC	0x5B81	# 宁 -- 302,314
0xC2CD	0x5BC1	# 寁 -- 302,315
0xC2CE	0x5BC0	# 寀 -- 302,316
0xC2CF	0x5BA7	# 宧 -- 302,317
0xC2D0	0x5BD6	# 寖 -- 302,320
0xC2D1	0x5BEA	# 寪 -- 302,321
0xC2D2	0x5C00	# 尀 -- 302,322
0xC2D3	0x5C1F	# 尟 -- 302,323
0xC2D4	0x5C2A	# 尪 -- 302,324
0xC2D5	0x5C44	# 屄 -- 302,325
0xC2D6	0x5C67	# 屧 -- 302,326
0xC2D7	0x5C68	# 屨 -- 302,327
0xC2D8	0x5C69	# 屩 -- 302,330
0xC2D9	0x5C6D	# 屭 -- 302,331
0xC2DA	0x5CA3	# 岣 -- 302,332
0xC2DB	0x5CB5	# 岵 -- 302,333
0xC2DC	0x5CA2	# 岢 -- 302,334
0xC2DD	0x5CA7	# 岧 -- 302,335
0xC2DE	0x5C8D	# 岍 -- 302,336
0xC2DF	0x5CDD	# 峝 -- 302,337
0xC2E0	0x5CEB	# 峫 -- 302,340
0xC2E1	0x5CF4	# 峴 -- 302,341
0xC2E2	0x5D1E	# 崞 -- 302,342
0xC2E3	0x5D24	# 崤 -- 302,343
0xC2E4	0x5D26	# 崦 -- 302,344
0xC2E5	0x5D1F	# 崟 -- 302,345
0xC2E6	0x5D3F	# 崿 -- 302,346
0xC2E7	0x5D42	# 嵂 -- 302,347
0xC2E8	0x5D4A	# 嵊 -- 302,350
0xC2E9	0x5D6B	# 嵫 -- 302,351
0xC2EA	0x5D81	# 嶁 -- 302,352
0xC2EB	0x5D93	# 嶓 -- 302,353
0xC2EC	0x5DA7	# 嶧 -- 302,354
0xC2ED	0x5DB0	# 嶰 -- 302,355
0xC2EE	0x5DD8	# 巘 -- 302,356
0xC2EF	0x5E1F	# 帟 -- 302,357
0xC2F0	0x5E58	# 幘 -- 302,360
0xC2F1	0x5E5E	# 幞 -- 302,361
0xC2F2	0x5E6C	# 幬 -- 302,362
0xC2F3	0x5E70	# 幰 -- 302,363
0xC2F4	0x5E80	# 庀 -- 302,364
0xC2F5	0x5EA4	# 庤 -- 302,365
0xC2F6	0x5EB3	# 庳 -- 302,366
0xC2F7	0x5ECC	# 廌 -- 302,367
0xC2F8	0x5ECE	# 廎 -- 302,370
0xC2F9	0x5898	# 墘 -- 302,371
0xC2FA	0x5EF1	# 廱 -- 302,372
0xC2FB	0x5F06	# 弆 -- 302,373
0xC2FC	0x5F0C	# 弌 -- 302,374
0xC2FD	0x5F22	# 弢 -- 302,375
0xC2FE	0x5F28	# 弨 -- 302,376
