
#   "300" UNIHAN

0xC0C8	0x8627	# 蘧 -- 300,310
0xC0C9	0x863C	# 蘼 -- 300,311
0xC0CA	0x8662	# 虢 -- 300,312
0xC0CB	0x867A	# 虺 -- 300,313
0xC0CC	0x8709	# 蜉 -- 300,314
0xC0CD	0x8723	# 蜣 -- 300,315
0xC0CE	0x8729	# 蜩 -- 300,316
0xC0CF	0x872E	# 蜮 -- 300,317
0xC0D0	0x8721	# 蜡 -- 300,320
0xC0D1	0x871E	# 蜞 -- 300,321
0xC0D2	0x87AF	# 螯 -- 300,322
0xC0D3	0x87BD	# 螽 -- 300,323
0xC0D4	0x87DB	# 蟛 -- 300,324
0xC0D5	0x8806	# 蠆 -- 300,325
0xC0D6	0x8844	# 衄 -- 300,326
0xC0D7	0x8852	# 衒 -- 300,327
0xC0D8	0x88B7	# 袷 -- 300,330
0xC0D9	0x88D2	# 裒 -- 300,331
0xC0DA	0x89A1	# 覡 -- 300,332
0xC0DB	0x89AF	# 覯 -- 300,333
0xC0DC	0x8A61	# 詡 -- 300,334
0xC0DD	0x8AB6	# 誶 -- 300,335
0xC0DE	0x8AE2	# 諢 -- 300,336
0xC0DF	0x8AFC	# 諼 -- 300,337
0xC0E0	0x8B16	# 謖 -- 300,340
0xC0E1	0x8B4E	# 譎 -- 300,341
0xC0E2	0x8B8E	# 讎 -- 300,342
0xC0E3	0x8B9C	# 讜 -- 300,343
0xC0E4	0x8B9F	# 讟 -- 300,344
0xC0E5	0x8C73	# 豳 -- 300,345
0xC0E6	0x8C8A	# 貊 -- 300,346
0xC0E7	0x8CB0	# 貰 -- 300,347
0xC0E8	0x8CC5	# 賅 -- 300,350
0xC0E9	0x8CEE	# 賮 -- 300,351
0xC0EA	0x8D84	# 趄 -- 300,352
0xC0EB	0x8DBA	# 趺 -- 300,353
0xC0EC	0x8DCF	# 跏 -- 300,354
0xC0ED	0x8DFD	# 跽 -- 300,355
0xC0EE	0x8E1F	# 踟 -- 300,356
0xC0EF	0x8E23	# 踣 -- 300,357
0xC0F0	0x8E4C	# 蹌 -- 300,360
0xC0F1	0x8E55	# 蹕 -- 300,361
0xC0F2	0x8E63	# 蹣 -- 300,362
0xC0F3	0x8E70	# 蹰 -- 300,363
0xC0F4	0x8E8B	# 躋 -- 300,364
0xC0F5	0x8EFA	# 軺 -- 300,365
0xC0F6	0x8F62	# 轢 -- 300,366
0xC0F7	0x9011	# 逑 -- 300,367
0xC0F8	0x902D	# 逭 -- 300,370
0xC0F9	0x9036	# 逶 -- 300,371
0xC0FA	0x905D	# 遝 -- 300,372
0xC0FB	0x9062	# 遢 -- 300,373
0xC0FC	0x909B	# 邛 -- 300,374
0xC0FD	0x90A0	# 邠 -- 300,375
0xC0FE	0x90C4	# 郄 -- 300,376
