
#   "244" UNIHAN

0xA4CD	0x5BF6	# 寶 -- 244,315
0xA4CE	0x6C7D	# 汽 -- 244,316
0xA4CF	0x81F4	# 致 -- 244,317
0xA4D0	0x89D2	# 角 -- 244,320
0xA4D1	0x7D42	# 終 -- 244,321
0xA4D2	0x8449	# 葉 -- 244,322
0xA4D3	0x6D3E	# 派 -- 244,323
0xA4D4	0x8DF3	# 跳 -- 244,324
0xA4D5	0x505C	# 停 -- 244,325
0xA4D6	0x71D2	# 燒 -- 244,326
0xA4D7	0x6B62	# 止 -- 244,327
0xA4D8	0x6E2F	# 港 -- 244,330
0xA4D9	0x5584	# 善 -- 244,331
0xA4DA	0x5F15	# 引 -- 244,332
0xA4DB	0x627F	# 承 -- 244,333
0xA4DC	0x670B	# 朋 -- 244,334
0xA4DD	0x8F2A	# 輪 -- 244,335
0xA4DE	0x7AD9	# 站 -- 244,336
0xA4DF	0x6162	# 慢 -- 244,337
0xA4E0	0x7368	# 獨 -- 244,340
0xA4E1	0x7D72	# 絲 -- 244,341
0xA4E2	0x65B7	# 斷 -- 244,342
0xA4E3	0x5E78	# 幸 -- 244,343
0xA4E4	0x6301	# 持 -- 244,344
0xA4E5	0x8B77	# 護 -- 244,345
0xA4E6	0x91CE	# 野 -- 244,346
0xA4E7	0x5E97	# 店 -- 244,347
0xA4E8	0x5FA9	# 復 -- 244,350
0xA4E9	0x5C24	# 尤 -- 244,351
0xA4EA	0x655D	# 敝 -- 244,352
0xA4EB	0x9769	# 革 -- 244,353
0xA4EC	0x67E5	# 查 -- 244,354
0xA4ED	0x8B1D	# 謝 -- 244,355
0xA4EE	0x76DB	# 盛 -- 244,356
0xA4EF	0x8853	# 術 -- 244,357
0xA4F0	0x9996	# 首 -- 244,360
0xA4F1	0x7562	# 畢 -- 244,361
0xA4F2	0x85CF	# 藏 -- 244,362
0xA4F3	0x7DF4	# 練 -- 244,363
0xA4F4	0x4F4E	# 低 -- 244,364
0xA4F5	0x4E43	# 乃 -- 244,365
0xA4F6	0x96D9	# 雙 -- 244,366
0xA4F7	0x9760	# 靠 -- 244,367
0xA4F8	0x4FEE	# 修 -- 244,370
0xA4F9	0x6751	# 村 -- 244,371
0xA4FA	0x52AA	# 努 -- 244,372
0xA4FB	0x4F9D	# 依 -- 244,373
0xA4FC	0x4E4E	# 乎 -- 244,374
0xA4FD	0x5EAD	# 庭 -- 244,375
0xA4FE	0x83DC	# 菜 -- 244,376
