
#   "322" UNIHAN

0xD2D2	0x5BC3	# 寃 -- 322,322
0xD2D3	0x5344	# 卄 -- 322,323
0xD2D4	0x7AEA	# 竪 -- 322,324
0xD2D5	0x55C1	# 嗁 -- 322,325
0xD2D6	0x5303	# 匃 -- 322,326
0xD2D7	0x9C15	# 鰕 -- 322,327
0xD2D8	0x756E	# 畮 -- 322,330
0xD2D9	0x6C31	# 氱 -- 322,331
0xD2DA	0x7AB4	# 窴 -- 322,332
0xD2DB	0x8A64	# 詤 -- 322,333
0xD2DC	0x9684	# 隄 -- 322,334
0xD2DD	0x64A6	# 撦 -- 322,335
0xD2DE	0x7881	# 碁 -- 322,336
0xD2DF	0x6B55	# 歕 -- 322,337
0xD2E0	0x5CEF	# 峯 -- 322,340
0xD2E1	0x9D08	# 鴈 -- 322,341
0xD2E2	0x8987	# 覇 -- 322,342
0xD2E3	0x750E	# 甎 -- 322,343
0xD2E4	0x6449	# 摉 -- 322,344
0xD2E5	0x962C	# 阬 -- 322,345
0xD2E6	0x789E	# 碞 -- 322,346
0xD2E7	0x8515	# 蔕 -- 322,347
0xD2E8	0x85F7	# 藷 -- 322,350
0xD2E9	0x6529	# 攩 -- 322,351
0xD2EA	0x7F46	# 罆 -- 322,352
0xD2EB	0x8B8C	# 讌 -- 322,353
0xD2EC	0x7506	# 甆 -- 322,354
0xD2ED	0x7B92	# 箒 -- 322,355
0xD2EE	0x9264	# 鉤 -- 322,356
0xD2EF	0x8090	# 肐 -- 322,357
0xD2F0	0x53A0	# 厠 -- 322,360
0xD2F1	0x8021	# 耡 -- 322,361
0xD2F2	0x5023	# 倣 -- 322,362
0xD2F3	0x8E4F	# 蹏 -- 322,363
0xD2F4	0x8C54	# 豔 -- 322,364
0xD2F5	0x5058	# 偘 -- 322,365
0xD2F6	0x5D10	# 崐 -- 322,366
0xD2F7	0x7BF4	# 篴 -- 322,367
0xD2F8	0x8103	# 脃 -- 322,370
0xD2F9	0x8FF4	# 迴 -- 322,371
0xD2FA	0x9FA5	# 龥 -- 322,372
0xD2FB	0x7A3A	# 稺 -- 322,373
0xD2FC	0x97C8	# 韈 -- 322,374
0xD2FD	0x6998	# 榘 -- 322,375
0xD2FE	0x5F6B	# 彫 -- 322,376
