
#   "303" UNIHAN

0xC3CB	0x686E	# 桮 -- 303,313
0xC3CC	0x68A9	# 梩 -- 303,314
0xC3CD	0x686F	# 桯 -- 303,315
0xC3CE	0x68D0	# 棐 -- 303,316
0xC3CF	0x68EB	# 棫 -- 303,317
0xC3D0	0x68EC	# 棬 -- 303,320
0xC3D1	0x68FC	# 棼 -- 303,321
0xC3D2	0x690F	# 椏 -- 303,322
0xC3D3	0x6913	# 椓 -- 303,323
0xC3D4	0x6939	# 椹 -- 303,324
0xC3D5	0x6942	# 楂 -- 303,325
0xC3D6	0x6945	# 楅 -- 303,326
0xC3D7	0x696C	# 楬 -- 303,327
0xC3D8	0x6958	# 楘 -- 303,330
0xC3D9	0x6959	# 楙 -- 303,331
0xC3DA	0x695D	# 楝 -- 303,332
0xC3DB	0x6969	# 楩 -- 303,333
0xC3DC	0x69A7	# 榧 -- 303,334
0xC3DD	0x69BC	# 榼 -- 303,335
0xC3DE	0x69B1	# 榱 -- 303,336
0xC3DF	0x69BE	# 榾 -- 303,337
0xC3E0	0x69E5	# 槥 -- 303,340
0xC3E1	0x69E7	# 槧 -- 303,341
0xC3E2	0x6A1B	# 樛 -- 303,342
0xC3E3	0x69F1	# 槱 -- 303,343
0xC3E4	0x6A05	# 樅 -- 303,344
0xC3E5	0x6A32	# 樲 -- 303,345
0xC3E6	0x6A3E	# 樾 -- 303,346
0xC3E7	0x6A50	# 橐 -- 303,347
0xC3E8	0x6AB4	# 檴 -- 303,350
0xC3E9	0x6A5A	# 橚 -- 303,351
0xC3EA	0x6A89	# 檉 -- 303,352
0xC3EB	0x6A9D	# 檝 -- 303,353
0xC3EC	0x6ADD	# 櫝 -- 303,354
0xC3ED	0x6AFD	# 櫽 -- 303,355
0xC3EE	0x6B12	# 欒 -- 303,356
0xC3EF	0x6B2C	# 欬 -- 303,357
0xC3F0	0x6B3B	# 欻 -- 303,360
0xC3F1	0x6B48	# 歈 -- 303,361
0xC3F2	0x6B4A	# 歊 -- 303,362
0xC3F3	0x6B5C	# 歜 -- 303,363
0xC3F4	0x6B60	# 歠 -- 303,364
0xC3F5	0x6BA3	# 殣 -- 303,365
0xC3F6	0x6BA2	# 殢 -- 303,366
0xC3F7	0x6BAA	# 殪 -- 303,367
0xC3F8	0x6BC8	# 毈 -- 303,370
0xC3F9	0x6BDA	# 毚 -- 303,371
0xC3FA	0x6BFF	# 毿 -- 303,372
0xC3FB	0x6C04	# 氄 -- 303,373
0xC3FC	0x6C1D	# 氝 -- 303,374
0xC3FD	0x6C54	# 汔 -- 303,375
0xC3FE	0x6C6D	# 汭 -- 303,376
