
#   "273" UNIHAN

0xBBC4	0x74A9	# 璩 -- 273,304
0xBBC5	0x67B4	# 枴 -- 273,305
0xBBC6	0x7599	# 疙 -- 273,306
0xBBC7	0x5E18	# 帘 -- 273,307
0xBBC8	0x62BF	# 抿 -- 273,310
0xBBC9	0x7578	# 畸 -- 273,311
0xBBCA	0x568E	# 嚎 -- 273,312
0xBBCB	0x7629	# 瘩 -- 273,313
0xBBCC	0x6ADA	# 櫚 -- 273,314
0xBBCD	0x8568	# 蕨 -- 273,315
0xBBCE	0x5482	# 咂 -- 273,316
0xBBCF	0x55C6	# 嗆 -- 273,317
0xBBD0	0x9296	# 銖 -- 273,320
0xBBD1	0x6C10	# 氐 -- 273,321
0xBBD2	0x59D2	# 姒 -- 273,322
0xBBD3	0x64BE	# 撾 -- 273,323
0xBBD4	0x7579	# 畹 -- 273,324
0xBBD5	0x6DD6	# 淖 -- 273,325
0xBBD6	0x8386	# 莆 -- 273,326
0xBBD7	0x6FAE	# 澮 -- 273,327
0xBBD8	0x7E11	# 縑 -- 273,330
0xBBD9	0x8E91	# 躑 -- 273,331
0xBBDA	0x8E85	# 躅 -- 273,332
0xBBDB	0x9132	# 鄲 -- 273,333
0xBBDC	0x73EE	# 珮 -- 273,334
0xBBDD	0x677C	# 杼 -- 273,335
0xBBDE	0x660A	# 昊 -- 273,336
0xBBDF	0x82DC	# 苜 -- 273,337
0xBBE0	0x5AB2	# 媲 -- 273,340
0xBBE1	0x54BB	# 咻 -- 273,341
0xBBE2	0x9826	# 頦 -- 273,342
0xBBE3	0x5665	# 噥 -- 273,343
0xBBE4	0x756C	# 畬 -- 273,344
0xBBE5	0x8438	# 萸 -- 273,345
0xBBE6	0x7613	# 瘓 -- 273,346
0xBBE7	0x5AF5	# 嫵 -- 273,347
0xBBE8	0x7B60	# 筠 -- 273,350
0xBBE9	0x76CE	# 盎 -- 273,351
0xBBEA	0x84FF	# 蓿 -- 273,352
0xBBEB	0x7BAC	# 箬 -- 273,353
0xBBEC	0x5685	# 嚅 -- 273,354
0xBBED	0x562C	# 嘬 -- 273,355
0xBBEE	0x7BC1	# 篁 -- 273,356
0xBBEF	0x56C1	# 囁 -- 273,357
0xBBF0	0x9D9A	# 鶚 -- 273,360
0xBBF1	0x5406	# 吆 -- 273,361
0xBBF2	0x8DFA	# 跺 -- 273,362
0xBBF3	0x5555	# 啕 -- 273,363
0xBBF4	0x5F46	# 彆 -- 273,364
0xBBF5	0x8E6C	# 蹬 -- 273,365
0xBBF6	0x5659	# 噙 -- 273,366
0xBBF7	0x5C37	# 尷 -- 273,367
0xBBF8	0x5A9E	# 媞 -- 273,370
0xBBF9	0x5DB2	# 嶲 -- 273,371
0xBBFA	0x4EE8	# 仨 -- 273,372
0xBBFB	0x973E	# 霾 -- 273,373
0xBBFC	0x6CC3	# 泃 -- 273,374
0xBBFD	0x5A96	# 媖 -- 273,375
0xBBFE	0x7889	# 碉 -- 273,376
