
#   "261" UNIHAN

0xB1C8	0x5919	# 夙 -- 261,310
0xB1C9	0x60BD	# 悽 -- 261,311
0xB1CA	0x86A4	# 蚤 -- 261,312
0xB1CB	0x5180	# 冀 -- 261,313
0xB1CC	0x6B79	# 歹 -- 261,314
0xB1CD	0x5C39	# 尹 -- 261,315
0xB1CE	0x7316	# 猖 -- 261,316
0xB1CF	0x66E0	# 曠 -- 261,317
0xB1D0	0x9761	# 靡 -- 261,320
0xB1D1	0x8534	# 蔴 -- 261,321
0xB1D2	0x7CE0	# 糠 -- 261,322
0xB1D3	0x8513	# 蔓 -- 261,323
0xB1D4	0x8098	# 肘 -- 261,324
0xB1D5	0x82AD	# 芭 -- 261,325
0xB1D6	0x8165	# 腥 -- 261,326
0xB1D7	0x95A4	# 閤 -- 261,327
0xB1D8	0x8782	# 螂 -- 261,330
0xB1D9	0x9BFD	# 鯽 -- 261,331
0xB1DA	0x8594	# 薔 -- 261,332
0xB1DB	0x81BA	# 膺 -- 261,333
0xB1DC	0x66D9	# 曙 -- 261,334
0xB1DD	0x58D5	# 壕 -- 261,335
0xB1DE	0x6D8E	# 涎 -- 261,336
0xB1DF	0x8768	# 蝨 -- 261,337
0xB1E0	0x87B3	# 螳 -- 261,340
0xB1E1	0x9320	# 錠 -- 261,341
0xB1E2	0x6582	# 斂 -- 261,342
0xB1E3	0x7678	# 癸 -- 261,343
0xB1E4	0x75B9	# 疹 -- 261,344
0xB1E5	0x574A	# 坊 -- 261,345
0xB1E6	0x6753	# 杓 -- 261,346
0xB1E7	0x7898	# 碘 -- 261,347
0xB1E8	0x8C4C	# 豌 -- 261,350
0xB1E9	0x740D	# 琍 -- 261,351
0xB1EA	0x85A6	# 薦 -- 261,352
0xB1EB	0x6EEF	# 滯 -- 261,353
0xB1EC	0x4FF8	# 俸 -- 261,354
0xB1ED	0x8B01	# 謁 -- 261,355
0xB1EE	0x7AE3	# 竣 -- 261,356
0xB1EF	0x4FDF	# 俟 -- 261,357
0xB1F0	0x90AA	# 邪 -- 261,360
0xB1F1	0x9F4B	# 齋 -- 261,361
0xB1F2	0x79BE	# 禾 -- 261,362
0xB1F3	0x7D79	# 絹 -- 261,363
0xB1F4	0x8D16	# 贖 -- 261,364
0xB1F5	0x5B7A	# 孺 -- 261,365
0xB1F6	0x77EF	# 矯 -- 261,366
0xB1F7	0x674F	# 杏 -- 261,367
0xB1F8	0x69D0	# 槐 -- 261,370
0xB1F9	0x8259	# 艙 -- 261,371
0xB1FA	0x61CA	# 懊 -- 261,372
0xB1FB	0x8FA3	# 辣 -- 261,373
0xB1FC	0x77DB	# 矛 -- 261,374
0xB1FD	0x608D	# 悍 -- 261,375
0xB1FE	0x7D5E	# 絞 -- 261,376
