
#   "305" UNIHAN

0xC5C8	0x7DAF	# 綯 -- 305,310
0xC5C9	0x7DD7	# 緗 -- 305,311
0xC5CA	0x7DF9	# 緹 -- 305,312
0xC5CB	0x7DE4	# 緤 -- 305,313
0xC5CC	0x7DE5	# 緥 -- 305,314
0xC5CD	0x7DD9	# 緙 -- 305,315
0xC5CE	0x7E15	# 縕 -- 305,316
0xC5CF	0x7E1A	# 縚 -- 305,317
0xC5D0	0x7E17	# 縗 -- 305,320
0xC5D1	0x7E20	# 縠 -- 305,321
0xC5D2	0x7E2D	# 縭 -- 305,322
0xC5D3	0x7E34	# 縴 -- 305,323
0xC5D4	0x7E62	# 繢 -- 305,324
0xC5D5	0x7E50	# 繐 -- 305,325
0xC5D6	0x7E7B	# 繻 -- 305,326
0xC5D7	0x7E7E	# 繾 -- 305,327
0xC5D8	0x7E81	# 纁 -- 305,330
0xC5D9	0x7E88	# 纈 -- 305,331
0xC5DA	0x7E8A	# 纊 -- 305,332
0xC5DB	0x7F3E	# 缾 -- 305,333
0xC5DC	0x7F43	# 罃 -- 305,334
0xC5DD	0x7F47	# 罇 -- 305,335
0xC5DE	0x7F4F	# 罏 -- 305,336
0xC5DF	0x7F5D	# 罝 -- 305,337
0xC5E0	0x7F65	# 罥 -- 305,340
0xC5E1	0x7F6D	# 罭 -- 305,341
0xC5E2	0x7F73	# 罳 -- 305,342
0xC5E3	0x7F76	# 罶 -- 305,343
0xC5E4	0x7F91	# 羑 -- 305,344
0xC5E5	0x7F96	# 羖 -- 305,345
0xC5E6	0x7FC3	# 翃 -- 305,346
0xC5E7	0x7FE3	# 翣 -- 305,347
0xC5E8	0x7FEB	# 翫 -- 305,350
0xC5E9	0x7FEC	# 翬 -- 305,351
0xC5EA	0x7FFE	# 翾 -- 305,352
0xC5EB	0x7FFF	# 翿 -- 305,353
0xC5EC	0x8008	# 耈 -- 305,354
0xC5ED	0x800F	# 耏 -- 305,355
0xC5EE	0x800E	# 耎 -- 305,356
0xC5EF	0x8024	# 耤 -- 305,357
0xC5F0	0x8030	# 耰 -- 305,360
0xC5F1	0x8053	# 聓 -- 305,361
0xC5F2	0x8071	# 聱 -- 305,362
0xC5F3	0x80B8	# 肸 -- 305,363
0xC5F4	0x80CF	# 胏 -- 305,364
0xC5F5	0x80E0	# 胠 -- 305,365
0xC5F6	0x80D7	# 胗 -- 305,366
0xC5F7	0x80D4	# 胔 -- 305,367
0xC5F8	0x80F9	# 胹 -- 305,370
0xC5F9	0x80FE	# 胾 -- 305,371
0xC5FA	0x8118	# 脘 -- 305,372
0xC5FB	0x8130	# 脰 -- 305,373
0xC5FC	0x811D	# 脝 -- 305,374
0xC5FD	0x811E	# 脞 -- 305,375
0xC5FE	0x8124	# 脤 -- 305,376
