
#   "324" UNIHAN

0xD4C9	0x5FC4	# 忄 -- 324,311
0xD4CA	0x624C	# 扌 -- 324,312
0xD4CB	0x6C35	# 氵 -- 324,313
0xD4CC	0x706C	# 灬 -- 324,314
0xD4CD	0x72AD	# 犭 -- 324,315
0xD4CE	0x793B	# 礻 -- 324,316
0xD4CF	0x91E2	# 釢 -- 324,317
0xD4D0	0x7F52	# 罒 -- 324,320
0xD4D1	0x8080	# 肀 -- 324,321
0xD4D2	0x8279	# 艹 -- 324,322
0xD4D3	0x8864	# 衤 -- 324,323
0xD4D4	0x5710	# 圐 -- 324,324
0xD4D5	0x5719	# 圙 -- 324,325
0xD4D6	0x576C	# 坬 -- 324,326
0xD4D7	0x57BE	# 垾 -- 324,327
0xD4D9	0x91FE	# 釾 -- 324,331
0xD4DA	0x9273	# 鉳 -- 324,332
0xD4DB	0x9272	# 鉲 -- 324,333
0xD4DC	0x92B0	# 銰 -- 324,334
0xD4DD	0x92A7	# 銧 -- 324,335
0xD4DE	0x9345	# 鍅 -- 324,336
0xD4DF	0x933C	# 錼 -- 324,337
0xD4E0	0x9357	# 鍗 -- 324,340
0xD4E1	0x62AC	# 抬 -- 324,341
0xD4E2	0x9440	# 鑀 -- 324,342
0xD4E3	0x6535	# 攵 -- 324,343
0xD4E4	0x7FA4	# 群 -- 324,344
0xD4E5	0x816D	# 腭 -- 324,345
0xD4E6	0x866B	# 虫 -- 324,346
0xD4E7	0x4E42	# 乂 -- 324,347
0xD4E8	0x83A6	# 莦 -- 324,350
0xD4E9	0x70D4	# 烔 -- 324,351
0xD4EA	0x51A2	# 冢 -- 324,352
0xD4EB	0x536E	# 卮 -- 324,353
0xD4EC	0x6996	# 榖 -- 324,354
0xD4ED	0x5C9C	# 岜 -- 324,355
0xD4EE	0x572B	# 圫 -- 324,356
0xD4EF	0x717A	# 煺 -- 324,357
0xD4F0	0x6D8C	# 涌 -- 324,360
0xD4F1	0x7A4E	# 穎 -- 324,361
0xD4F2	0x64A3	# 撣 -- 324,362
0xD4F3	0x93AA	# 鎪 -- 324,363
0xD4F4	0x673A	# 机 -- 324,364
0xD4F5	0x788D	# 碍 -- 324,365
0xD4F6	0x700B	# 瀋 -- 324,366
0xD4F7	0x8FB6	# 辶 -- 324,367
0xD4F8	0x527A	# 剺 -- 324,370
0xD4F9	0x5A3F	# 娿 -- 324,371
0xD4FA	0x5CDE	# 峞 -- 324,372
0xD4FB	0x80EE	# 胮 -- 324,373
0xD4FC	0x89F0	# 觰 -- 324,374
0xD4FD	0x8E06	# 踆 -- 324,375
0xD4FE	0x88DB	# 裛 -- 324,376
