
#   "254" UNIHAN

0xACC7	0x4EF2	# 仲 -- 254,307
0xACC8	0x918B	# 醋 -- 254,310
0xACC9	0x5BC7	# 寇 -- 254,311
0xACCA	0x52C3	# 勃 -- 254,312
0xACCB	0x51DD	# 凝 -- 254,313
0xACCC	0x746A	# 瑪 -- 254,314
0xACCD	0x5A1F	# 娟 -- 254,315
0xACCE	0x641C	# 搜 -- 254,316
0xACCF	0x75AB	# 疫 -- 254,317
0xACD0	0x79D2	# 秒 -- 254,320
0xACD1	0x9727	# 霧 -- 254,321
0xACD2	0x5751	# 坑 -- 254,322
0xACD3	0x860B	# 蘋 -- 254,323
0xACD4	0x582F	# 堯 -- 254,324
0xACD5	0x5CA9	# 岩 -- 254,325
0xACD6	0x5DF7	# 巷 -- 254,326
0xACD7	0x8C6A	# 豪 -- 254,327
0xACD8	0x881F	# 蠟 -- 254,330
0xACD9	0x7B28	# 笨 -- 254,331
0xACDA	0x6167	# 慧 -- 254,332
0xACDB	0x92D2	# 鋒 -- 254,333
0xACDC	0x810A	# 脊 -- 254,334
0xACDD	0x95A9	# 閩 -- 254,335
0xACDE	0x9059	# 遙 -- 254,336
0xACDF	0x5074	# 側 -- 254,337
0xACE0	0x796D	# 祭 -- 254,340
0xACE1	0x8482	# 蒂 -- 254,341
0xACE2	0x790E	# 礎 -- 254,342
0xACE3	0x5C60	# 屠 -- 254,343
0xACE4	0x5A03	# 娃 -- 254,344
0xACE5	0x7FD4	# 翔 -- 254,345
0xACE6	0x5851	# 塑 -- 254,346
0xACE7	0x6C88	# 沈 -- 254,347
0xACE8	0x55AC	# 喬 -- 254,350
0xACE9	0x9EF4	# 黴 -- 254,351
0xACEA	0x59B3	# 妳 -- 254,352
0xACEB	0x90ED	# 郭 -- 254,353
0xACEC	0x85AF	# 薯 -- 254,354
0xACED	0x665D	# 晝 -- 254,355
0xACEE	0x7149	# 煉 -- 254,356
0xACEF	0x8CBF	# 貿 -- 254,357
0xACF0	0x840A	# 萊 -- 254,360
0xACF1	0x524A	# 削 -- 254,361
0xACF2	0x64CB	# 擋 -- 254,362
0xACF3	0x6377	# 捷 -- 254,363
0xACF4	0x54B8	# 咸 -- 254,364
0xACF5	0x8D1B	# 贛 -- 254,365
0xACF6	0x78B3	# 碳 -- 254,366
0xACF7	0x9375	# 鍵 -- 254,367
0xACF8	0x5009	# 倉 -- 254,370
0xACF9	0x6F2B	# 漫 -- 254,371
0xACFA	0x8861	# 衡 -- 254,372
0xACFB	0x53E2	# 叢 -- 254,373
0xACFC	0x5026	# 倦 -- 254,374
0xACFD	0x79BD	# 禽 -- 254,375
0xACFE	0x8549	# 蕉 -- 254,376
