
#   "275" UNIHAN

0xBDC4	0x9949	# 饉 -- 275,304
0xBDC5	0x9997	# 馗 -- 275,305
0xBDC6	0x99DF	# 駟 -- 275,306
0xBDC7	0x9B23	# 鬣 -- 275,307
0xBDC8	0x9B29	# 鬩 -- 275,310
0xBDC9	0x9B3B	# 鬻 -- 275,311
0xBDCA	0x9B43	# 魃 -- 275,312
0xBDCB	0x9B48	# 魈 -- 275,313
0xBDCC	0x9B4D	# 魍 -- 275,314
0xBDCD	0x9B51	# 魑 -- 275,315
0xBDCE	0x9BC1	# 鯁 -- 275,316
0xBDCF	0x9D60	# 鵠 -- 275,317
0xBDD0	0x9EE5	# 黥 -- 275,320
0xBDD1	0x9F4E	# 齎 -- 275,321
0xBDD2	0x4EC3	# 仃 -- 275,322
0xBDD3	0x6420	# 搠 -- 275,323
0xBDD4	0x6A17	# 樗 -- 275,324
0xBDD5	0x727E	# 牾 -- 275,325
0xBDD6	0x80AD	# 肭 -- 275,326
0xBDD7	0x86E9	# 蛩 -- 275,327
0xBDD8	0x8998	# 覘 -- 275,330
0xBDD9	0x4EB9	# 亹 -- 275,331
0xBDDA	0x4EC2	# 仂 -- 275,332
0xBDDB	0x4F0E	# 伎 -- 275,333
0xBDDC	0x4F7C	# 佼 -- 275,334
0xBDDD	0x4F3E	# 伾 -- 275,335
0xBDDE	0x4FF6	# 俶 -- 275,336
0xBDDF	0x502C	# 倬 -- 275,337
0xBDE0	0x5048	# 偈 -- 275,340
0xBDE1	0x50E6	# 僦 -- 275,341
0xBDE2	0x5260	# 剠 -- 275,342
0xBDE3	0x527D	# 剽 -- 275,343
0xBDE4	0x5282	# 劂 -- 275,344
0xBDE5	0x5293	# 劓 -- 275,345
0xBDE6	0x65B8	# 斸 -- 275,346
0xBDE7	0x52E3	# 勣 -- 275,347
0xBDE8	0x5396	# 厖 -- 275,350
0xBDE9	0x5399	# 厙 -- 275,351
0xBDEA	0x53E1	# 叡 -- 275,352
0xBDEB	0x85C9	# 藉 -- 275,353
0xBDEC	0x8986	# 覆 -- 275,354
0xBDED	0x5AC4	# 嫄 -- 275,355
0xBDEE	0x5B00	# 嬀 -- 275,356
0xBDEF	0x5B19	# 嬙 -- 275,357
0xBDF0	0x5B32	# 嬲 -- 275,360
0xBDF1	0x5B5B	# 孛 -- 275,361
0xBDF2	0x5B7F	# 孿 -- 275,362
0xBDF3	0x5B84	# 宄 -- 275,363
0xBDF4	0x5B93	# 宓 -- 275,364
0xBDF5	0x5C28	# 尨 -- 275,365
0xBDF6	0x8A10	# 訐 -- 275,366
0xBDF7	0x54E2	# 哢 -- 275,367
0xBDF8	0x5586	# 喆 -- 275,370
0xBDF9	0x55D2	# 嗒 -- 275,371
0xBDFA	0x5605	# 嘅 -- 275,372
0xBDFB	0x5642	# 噂 -- 275,373
0xBDFC	0x5638	# 嘸 -- 275,374
0xBDFD	0x5672	# 噲 -- 275,375
0xBDFE	0x566D	# 噭 -- 275,376
