
#   "316" UNIHAN

0xCEC2	0x5CF1	# 峱 -- 316,302
0xCEC3	0x9DA1	# 鶡 -- 316,303
0xCEC4	0x5E88	# 庈 -- 316,304
0xCEC5	0x7CF9	# 糹 -- 316,305
0xCEC6	0x5EE7	# 廧 -- 316,306
0xCEC7	0x5F02	# 异 -- 316,307
0xCEC8	0x5F0E	# 弎 -- 316,310
0xCEC9	0x60FD	# 惽 -- 316,311
0xCECA	0x6113	# 愓 -- 316,312
0xCECB	0x61EE	# 懮 -- 316,313
0xCECC	0x6199	# 憙 -- 316,314
0xCECD	0x6337	# 挷 -- 316,315
0xCECE	0x6310	# 挐 -- 316,316
0xCECF	0x9C6D	# 鱭 -- 316,317
0xCED0	0x648A	# 撊 -- 316,320
0xCED1	0x648F	# 撏 -- 316,321
0xCED2	0x9C7B	# 鱻 -- 316,322
0xCED3	0x65FC	# 旼 -- 316,323
0xCED4	0x6662	# 晢 -- 316,324
0xCED5	0x677B	# 杻 -- 316,325
0xCED6	0x67E4	# 柤 -- 316,326
0xCED7	0x710A	# 焊 -- 316,327
0xCED8	0x91F7	# 釷 -- 316,330
0xCED9	0x9226	# 鈦 -- 316,331
0xCEDA	0x6A63	# 橣 -- 316,332
0xCEDB	0x71CA	# 燊 -- 316,333
0xCEDC	0x67F8	# 柸 -- 316,334
0xCEDD	0x681F	# 栟 -- 316,335
0xCEDE	0x7833	# 砳 -- 316,336
0xCEDF	0x9C6F	# 鱯 -- 316,337
0xCEE0	0x7837	# 砷 -- 316,340
0xCEE1	0x6D81	# 涁 -- 316,341
0xCEE2	0x92C7	# 鋇 -- 316,342
0xCEE3	0x6EC9	# 滉 -- 316,343
0xCEE4	0x7033	# 瀳 -- 316,344
0xCEE5	0x71A4	# 熤 -- 316,345
0xCEE6	0x72C5	# 狅 -- 316,346
0xCEE7	0x7444	# 瑄 -- 316,347
0xCEE8	0x6C1F	# 氟 -- 316,350
0xCEE9	0x7430	# 琰 -- 316,351
0xCEEA	0x9E18	# 鸘 -- 316,352
