
#   "321" UNIHAN

0xD1C9	0x9376	# 鍶 -- 321,311
0xD1CA	0x9384	# 鎄 -- 321,312
0xD1CB	0x9387	# 鎇 -- 321,313
0xD1CC	0x93BF	# 鎿 -- 321,314
0xD1CD	0x93A6	# 鎦 -- 321,315
0xD1CE	0x93B5	# 鎵 -- 321,316
0xD1CF	0x93CD	# 鏍 -- 321,317
0xD1D0	0x9426	# 鐦 -- 321,320
0xD1D1	0x93CC	# 鏌 -- 321,321
0xD1D2	0x940B	# 鐋 -- 321,322
0xD1D3	0x9412	# 鐒 -- 321,323
0xD1D4	0x9428	# 鐨 -- 321,324
0xD1D5	0x941D	# 鐝 -- 321,325
0xD1D6	0x93F7	# 鏷 -- 321,326
0xD1D7	0x9420	# 鐠 -- 321,327
0xD1D8	0x9465	# 鑥 -- 321,330
0xD1D9	0x946D	# 鑭 -- 321,331
0xD1DA	0x943F	# 鐿 -- 321,332
0xD1DB	0x943E	# 鐾 -- 321,333
0xD1DC	0x9454	# 鑔 -- 321,334
0xD1DD	0x9479	# 鑹 -- 321,335
0xD1DE	0x958C	# 閌 -- 321,336
0xD1DF	0x9622	# 阢 -- 321,337
0xD1E0	0x9A0D	# 騍 -- 321,340
0xD1E1	0x9A4F	# 驏 -- 321,341
0xD1E2	0x9794	# 鞔 -- 321,342
0xD1E4	0x97B2	# 鞲 -- 321,344
0xD1E5	0x97B4	# 鞴 -- 321,345
0xD1E6	0x97BD	# 鞽 -- 321,346
0xD1E7	0x986C	# 顬 -- 321,347
0xD1E8	0x9873	# 顳 -- 321,350
0xD1E9	0x9937	# 餷 -- 321,351
0xD1EA	0x9943	# 饃 -- 321,352
0xD1EB	0x994A	# 饊 -- 321,353
0xD1EC	0x9962	# 饢 -- 321,354
0xD1ED	0x9AB6	# 骶 -- 321,355
0xD1EE	0x9ABA	# 骺 -- 321,356
0xD1EF	0x9AC2	# 髂 -- 321,357
0xD1F0	0x9AD5	# 髕 -- 321,360
0xD1F1	0x9B0F	# 鬏 -- 321,361
0xD1F2	0x9B5F	# 魟 -- 321,362
0xD1F3	0x9B81	# 鮁 -- 321,363
0xD1F4	0x9B83	# 鮃 -- 321,364
0xD1F5	0x9BC7	# 鯇 -- 321,365
0xD1F6	0x9BEA	# 鯪 -- 321,366
0xD1F7	0x9BE1	# 鯡 -- 321,367
0xD1F8	0x9BDD	# 鯝 -- 321,370
0xD1F9	0x9BF0	# 鯰 -- 321,371
0xD1FA	0x9BF4	# 鯴 -- 321,372
0xD1FB	0x9C20	# 鰠 -- 321,373
0xD1FC	0x9C28	# 鰨 -- 321,374
0xD1FD	0x9C29	# 鰩 -- 321,375
0xD1FE	0x9C33	# 鰳 -- 321,376
