
#   "271" UNIHAN

0xB9C8	0x7887	# 碇 -- 271,310
0xB9C9	0x7BE0	# 篠 -- 271,311
0xB9CA	0x7FE6	# 翦 -- 271,312
0xB9CB	0x837C	# 荼 -- 271,313
0xB9CC	0x871A	# 蜚 -- 271,314
0xB9CD	0x8832	# 蠲 -- 271,315
0xB9CE	0x8A67	# 詧 -- 271,316
0xB9CF	0x9291	# 銑 -- 271,317
0xB9D0	0x98BB	# 颻 -- 271,320
0xB9D1	0x993D	# 餽 -- 271,321
0xB9D2	0x9A0F	# 騏 -- 271,322
0xB9D3	0x88A2	# 袢 -- 271,323
0xB9D4	0x9ECC	# 黌 -- 271,324
0xB9D5	0x51CA	# 凊 -- 271,325
0xB9D6	0x5298	# 劘 -- 271,326
0xB9D7	0x5684	# 嚄 -- 271,327
0xB9D8	0x60F2	# 惲 -- 271,330
0xB9D9	0x6684	# 暄 -- 271,331
0xB9DA	0x595A	# 奚 -- 271,332
0xB9DB	0x6AEC	# 櫬 -- 271,333
0xB9DC	0x6DC4	# 淄 -- 271,334
0xB9DD	0x6EC1	# 滁 -- 271,335
0xB9DE	0x7006	# 瀆 -- 271,336
0xB9DF	0x71EE	# 燮 -- 271,337
0xB9E0	0x726F	# 牯 -- 271,340
0xB9E1	0x7600	# 瘀 -- 271,341
0xB9E2	0x75F1	# 痱 -- 271,342
0xB9E3	0x7625	# 瘥 -- 271,343
0xB9E4	0x765F	# 癟 -- 271,344
0xB9E5	0x7670	# 癰 -- 271,345
0xB9E6	0x546B	# 呫 -- 271,346
0xB9E7	0x7CF6	# 糶 -- 271,347
0xB9E8	0x7F7D	# 罽 -- 271,350
0xB9E9	0x8014	# 耔 -- 271,351
0xB9EA	0x811B	# 脛 -- 271,352
0xB9EB	0x81DD	# 臝 -- 271,353
0xB9EC	0x83A9	# 莩 -- 271,354
0xB9ED	0x884A	# 衊 -- 271,355
0xB9EE	0x8AD1	# 諑 -- 271,356
0xB9EF	0x8B07	# 謇 -- 271,357
0xB9F0	0x8B85	# 讅 -- 271,360
0xB9F1	0x9210	# 鈐 -- 271,361
0xB9F2	0x9628	# 阨 -- 271,362
0xB9F3	0x9768	# 靨 -- 271,363
0xB9F4	0x9870	# 顰 -- 271,364
0xB9F5	0x52FD	# 勽 -- 271,365
0xB9F6	0x90D7	# 郗 -- 271,366
0xB9F7	0x92AC	# 銬 -- 271,367
0xB9F8	0x54CF	# 哏 -- 271,370
0xB9F9	0x552C	# 唬 -- 271,371
0xB9FA	0x6886	# 梆 -- 271,372
0xB9FB	0x7785	# 瞅 -- 271,373
0xB9FC	0x81C3	# 臃 -- 271,374
0xB9FD	0x826E	# 艮 -- 271,375
0xB9FE	0x84A1	# 蒡 -- 271,376
