
#   "277" UNIHAN

0xBFC3	0x5FAC	# 徬 -- 277,303
0xBFC4	0x5FD2	# 忒 -- 277,304
0xBFC5	0x5FD0	# 忐 -- 277,305
0xBFC6	0x5FD1	# 忑 -- 277,306
0xBFC7	0x605D	# 恝 -- 277,307
0xBFC8	0x6067	# 恧 -- 277,310
0xBFC9	0x6092	# 悒 -- 277,311
0xBFCA	0x60B1	# 悱 -- 277,312
0xBFCB	0x60F8	# 惸 -- 277,313
0xBFCC	0x6100	# 愀 -- 277,314
0xBFCD	0x612B	# 愫 -- 277,315
0xBFCE	0x61DF	# 懟 -- 277,316
0xBFCF	0x623D	# 戽 -- 277,317
0xBFD0	0x62CA	# 拊 -- 277,320
0xBFD1	0x637D	# 捽 -- 277,321
0xBFD2	0x638A	# 掊 -- 277,322
0xBFD3	0x63BE	# 掾 -- 277,323
0xBFD4	0x646D	# 摭 -- 277,324
0xBFD5	0x6476	# 摶 -- 277,325
0xBFD6	0x649D	# 撝 -- 277,326
0xBFD7	0x64BB	# 撻 -- 277,327
0xBFD8	0x64FB	# 擻 -- 277,330
0xBFD9	0x64F7	# 擷 -- 277,331
0xBFDA	0x5910	# 夐 -- 277,332
0xBFDB	0x65B2	# 斲 -- 277,333
0xBFDC	0x65C2	# 旂 -- 277,334
0xBFDD	0x6609	# 昉 -- 277,335
0xBFDE	0x6615	# 昕 -- 277,336
0xBFDF	0x6661	# 晡 -- 277,337
0xBFE0	0x668D	# 暍 -- 277,340
0xBFE1	0x669D	# 暝 -- 277,341
0xBFE2	0x66B5	# 暵 -- 277,342
0xBFE3	0x66BE	# 暾 -- 277,343
0xBFE4	0x66DB	# 曛 -- 277,344
0xBFE5	0x6798	# 枘 -- 277,345
0xBFE6	0x67B2	# 枲 -- 277,346
0xBFE7	0x67E2	# 柢 -- 277,347
0xBFE8	0x688F	# 梏 -- 277,350
0xBFE9	0x68D6	# 棖 -- 277,351
0xBFEA	0x68E3	# 棣 -- 277,352
0xBFEB	0x68E8	# 棨 -- 277,353
0xBFEC	0x696E	# 楮 -- 277,354
0xBFED	0x6978	# 楸 -- 277,355
0xBFEE	0x695B	# 楛 -- 277,356
0xBFEF	0x6966	# 楦 -- 277,357
0xBFF0	0x69CA	# 槊 -- 277,360
0xBFF1	0x69C5	# 槅 -- 277,361
0xBFF2	0x69FF	# 槿 -- 277,362
0xBFF3	0x69D4	# 槔 -- 277,363
0xBFF4	0x6AA0	# 檠 -- 277,364
0xBFF5	0x6AA3	# 檣 -- 277,365
0xBFF6	0x6ADE	# 櫞 -- 277,366
0xBFF7	0x6ADF	# 櫟 -- 277,367
0xBFF8	0x6AF3	# 櫳 -- 277,370
0xBFF9	0x6B3F	# 欿 -- 277,371
0xBFFA	0x6B43	# 歃 -- 277,372
0xBFFB	0x6B9E	# 殞 -- 277,373
0xBFFC	0x6BD6	# 毖 -- 277,374
0xBFFD	0x6BF9	# 毹 -- 277,375
0xBFFE	0x6C0D	# 氍 -- 277,376
