
#   "262" UNIHAN

0xB2C9	0x7C9F	# 粟 -- 262,311
0xB2CA	0x8AC9	# 諉 -- 262,312
0xB2CB	0x82DE	# 苞 -- 262,313
0xB2CC	0x6EAF	# 溯 -- 262,314
0xB2CD	0x60E6	# 惦 -- 262,315
0xB2CE	0x8925	# 褥 -- 262,316
0xB2CF	0x5277	# 剷 -- 262,317
0xB2D0	0x8591	# 薑 -- 262,320
0xB2D1	0x58EC	# 壬 -- 262,321
0xB2D2	0x64C4	# 擄 -- 262,322
0xB2D3	0x975B	# 靛 -- 262,323
0xB2D4	0x9432	# 鐲 -- 262,324
0xB2D5	0x7AA0	# 窠 -- 262,325
0xB2D6	0x4ED5	# 仕 -- 262,326
0xB2D7	0x5F57	# 彗 -- 262,327
0xB2D8	0x6FFA	# 濺 -- 262,330
0xB2D9	0x8C41	# 豁 -- 262,331
0xB2DA	0x609A	# 悚 -- 262,332
0xB2DB	0x9F15	# 鼕 -- 262,333
0xB2DC	0x5323	# 匣 -- 262,334
0xB2DD	0x7B06	# 笆 -- 262,335
0xB2DE	0x51E0	# 几 -- 262,336
0xB2DF	0x787C	# 硼 -- 262,337
0xB2E0	0x84C6	# 蓆 -- 262,340
0xB2E1	0x75A4	# 疤 -- 262,341
0xB2E2	0x9D26	# 鴦 -- 262,342
0xB2E3	0x9D1B	# 鴛 -- 262,343
0xB2E4	0x934D	# 鍍 -- 262,344
0xB2E5	0x9E1E	# 鸞 -- 262,345
0xB2E6	0x95BB	# 閻 -- 262,346
0xB2E7	0x5F1B	# 弛 -- 262,347
0xB2E8	0x5366	# 卦 -- 262,350
0xB2E9	0x502A	# 倪 -- 262,351
0xB2EA	0x7B19	# 笙 -- 262,352
0xB2EB	0x5BC5	# 寅 -- 262,353
0xB2EC	0x7280	# 犀 -- 262,354
0xB2ED	0x7A37	# 稷 -- 262,355
0xB2EE	0x7AC5	# 竅 -- 262,356
0xB2EF	0x776C	# 睬 -- 262,357
0xB2F0	0x8378	# 荸 -- 262,360
0xB2F1	0x71D0	# 燐 -- 262,361
0xB2F2	0x6A59	# 橙 -- 262,362
0xB2F3	0x8816	# 蠖 -- 262,363
0xB2F4	0x53F1	# 叱 -- 262,364
0xB2F5	0x5201	# 刁 -- 262,365
0xB2F6	0x55F6	# 嗶 -- 262,366
0xB2F7	0x965E	# 陞 -- 262,367
0xB2F8	0x7B8B	# 箋 -- 262,370
0xB2F9	0x53C1	# 叁 -- 262,371
0xB2FA	0x8477	# 葷 -- 262,372
0xB2FB	0x6059	# 恙 -- 262,373
0xB2FC	0x95A8	# 閨 -- 262,374
0xB2FD	0x708A	# 炊 -- 262,375
0xB2FE	0x5A29	# 娩 -- 262,376
