
#   "314" UNIHAN

0xCCC4	0x9833	# 頳 -- 314,304
0xCCC5	0x9847	# 顇 -- 314,305
0xCCC6	0x98AE	# 颮 -- 314,306
0xCCC7	0x98BD	# 颽 -- 314,307
0xCCC8	0x98E5	# 飥 -- 314,310
0xCCC9	0x98E6	# 飦 -- 314,311
0xCCCA	0x9929	# 餩 -- 314,312
0xCCCB	0x98F6	# 飶 -- 314,313
0xCCCC	0x9924	# 餤 -- 314,314
0xCCCD	0x992B	# 餫 -- 314,315
0xCCCE	0x993A	# 餺 -- 314,316
0xCCCF	0x75F4	# 痴 -- 314,317
0xCCD0	0x999D	# 馝 -- 314,320
0xCCD1	0x99A3	# 馣 -- 314,321
0xCCD2	0x99C3	# 駃 -- 314,322
0xCCD3	0x99D3	# 駓 -- 314,323
0xCCD4	0x99CB	# 駋 -- 314,324
0xCCD5	0x99DC	# 駜 -- 314,325
0xCCD6	0x99C9	# 駉 -- 314,326
0xCCD7	0x99D7	# 駗 -- 314,327
0xCCD8	0x99FD	# 駽 -- 314,330
0xCCD9	0x99FE	# 駾 -- 314,331
0xCCDA	0x99F5	# 駵 -- 314,332
0xCCDB	0x9A06	# 騆 -- 314,333
0xCCDC	0x9A20	# 騠 -- 314,334
0xCCDD	0x9A2F	# 騯 -- 314,335
0xCCDE	0x9A54	# 驔 -- 314,336
0xCCDF	0x9A59	# 驙 -- 314,337
0xCCE0	0x9A6B	# 驫 -- 314,340
0xCCE1	0x9AB1	# 骱 -- 314,341
0xCCE2	0x9AC1	# 髁 -- 314,342
0xCCE3	0x9AF3	# 髳 -- 314,343
0xCCE4	0x9B32	# 鬲 -- 314,344
0xCCE5	0x9B34	# 鬴 -- 314,345
0xCCE6	0x9B46	# 魆 -- 314,346
0xCCE7	0x9B4A	# 魊 -- 314,347
0xCCE8	0x9B50	# 魐 -- 314,350
0xCCE9	0x9B57	# 魗 -- 314,351
0xCCEA	0x9B68	# 魨 -- 314,352
0xCCEB	0x9B80	# 鮀 -- 314,353
0xCCEC	0x9B93	# 鮓 -- 314,354
0xCCED	0x9B86	# 鮆 -- 314,355
0xCCEE	0x9B7A	# 魺 -- 314,356
0xCCEF	0x9B9E	# 鮞 -- 314,357
0xCCF0	0x9BE2	# 鯢 -- 314,360
0xCCF1	0x9BD4	# 鯔 -- 314,361
0xCCF2	0x9C0B	# 鰋 -- 314,362
0xCCF3	0x9C2E	# 鰮 -- 314,363
0xCCF4	0x9C39	# 鰹 -- 314,364
0xCCF5	0x9C37	# 鰷 -- 314,365
0xCCF6	0x98E0	# 飠 -- 314,366
0xCCF7	0x9CE6	# 鳦 -- 314,367
0xCCF8	0x9D04	# 鴄 -- 314,370
0xCCF9	0x9D40	# 鵀 -- 314,371
0xCCFA	0x9D39	# 鴹 -- 314,372
0xCCFB	0x9D83	# 鶃 -- 314,373
0xCCFC	0x9DCA	# 鷊 -- 314,374
0xCCFD	0x9DB1	# 鶱 -- 314,375
0xCCFE	0x9DD5	# 鷕 -- 314,376
