0xBCC4	0x6042	# 恂 -- 274,304
0xBCC5	0x605A	# 恚 -- 274,305
0xBCC6	0x609B	# 悛 -- 274,306
0xBCC7	0x60C7	# 惇 -- 274,307
0xBCC8	0x60C6	# 惆 -- 274,310
0xBCC9	0x614D	# 慍 -- 274,311
0xBCCA	0x6134	# 愴 -- 274,312
0xBCCB	0x614A	# 慊 -- 274,313
0xBCCC	0x615D	# 慝 -- 274,314
0xBCCD	0x6173	# 慳 -- 274,315
0xBCCE	0x6175	# 慵 -- 274,316
0xBCCF	0x61CC	# 懌 -- 274,317
0xBCD0	0x6229	# 戩 -- 274,320
0xBCD1	0x6243	# 扃 -- 274,321
0xBCD2	0x62F6	# 拶 -- 274,322
0xBCD3	0x634D	# 捍 -- 274,323
0xBCD4	0x6434	# 搴 -- 274,324
0xBCD5	0x64EF	# 擯 -- 274,325
0xBCD6	0x65C4	# 旄 -- 274,326
0xBCD7	0x65C6	# 旆 -- 274,327
0xBCD8	0x6634	# 昴 -- 274,330
0xBCD9	0x6641	# 晁 -- 274,331
0xBCDA	0x67B3	# 枳 -- 274,332
0xBCDB	0x67B5	# 枵 -- 274,333
0xBCDC	0x67D8	# 柘 -- 274,334
0xBCDD	0x67DD	# 柝 -- 274,335
0xBCDE	0x684E	# 桎 -- 274,336
0xBCDF	0x6832	# 栲 -- 274,337
0xBCE0	0x6954	# 楔 -- 274,340
0xBCE1	0x6963	# 楣 -- 274,341
0xBCE2	0x6A3A	# 樺 -- 274,342
0xBCE3	0x6AEA	# 櫪 -- 274,343
0xBCE4	0x6B37	# 欷 -- 274,344
0xBCE5	0x6B46	# 歆 -- 274,345
0xBCE6	0x6B54	# 歔 -- 274,346
0xBCE7	0x6B82	# 殂 -- 274,347
0xBCE8	0x6B8D	# 殍 -- 274,350
0xBCE9	0x6B9B	# 殛 -- 274,351
0xBCEA	0x6BAB	# 殫 -- 274,352
0xBCEB	0x6C24	# 氤 -- 274,353
0xBCEC	0x6C33	# 氳 -- 274,354
0xBCED	0x6C93	# 沓 -- 274,355
0xBCEE	0x6CD3	# 泓 -- 274,356
0xBCEF	0x6CEE	# 泮 -- 274,357
0xBCF0	0x6D19	# 洙 -- 274,360
