
#   "270" UNIHAN

0xB8C8	0x77BF	# 瞿 -- 270,310
0xB8C9	0x7A14	# 稔 -- 270,311
0xB8CA	0x7BCB	# 篋 -- 270,312
0xB8CB	0x8151	# 腑 -- 270,313
0xB8CC	0x8340	# 荀 -- 270,314
0xB8CD	0x8398	# 莘 -- 270,315
0xB8CE	0x83C5	# 菅 -- 270,316
0xB8CF	0x847A	# 葺 -- 270,317
0xB8D0	0x875F	# 蝟 -- 270,320
0xB8D1	0x887E	# 衾 -- 270,321
0xB8D2	0x891A	# 褚 -- 270,322
0xB8D3	0x8988	# 覈 -- 270,323
0xB8D4	0x89D4	# 觔 -- 270,324
0xB8D5	0x8A48	# 詈 -- 270,325
0xB8D6	0x8ADB	# 諛 -- 270,326
0xB8D7	0x8AEE	# 諮 -- 270,327
0xB8D8	0x8CFB	# 賻 -- 270,330
0xB8D9	0x8D0D	# 贍 -- 270,331
0xB8DA	0x8E30	# 踰 -- 270,332
0xB8DB	0x8E49	# 蹉 -- 270,333
0xB8DC	0x8E87	# 躇 -- 270,334
0xB8DD	0x8E8A	# 躊 -- 270,335
0xB8DE	0x9041	# 遁 -- 270,336
0xB8DF	0x905B	# 遛 -- 270,337
0xB8E0	0x932E	# 錮 -- 270,340
0xB8E1	0x95D5	# 闕 -- 270,341
0xB8E2	0x9773	# 靳 -- 270,342
0xB8E3	0x9BCA	# 鯊 -- 270,343
0xB8E4	0x9D06	# 鴆 -- 270,344
0xB8E5	0x9F5F	# 齟 -- 270,345
0xB8E6	0x5106	# 儆 -- 270,346
0xB8E7	0x530D	# 匍 -- 270,347
0xB8E8	0x5310	# 匐 -- 270,350
0xB8E9	0x5E11	# 帑 -- 270,351
0xB8EA	0x5EE8	# 廨 -- 270,352
0xB8EB	0x6214	# 戔 -- 270,353
0xB8EC	0x6406	# 搆 -- 270,354
0xB8ED	0x6409	# 搉 -- 270,355
0xB8EE	0x6621	# 昡 -- 270,356
0xB8EF	0x6A8E	# 檎 -- 270,357
0xB8F0	0x6F3E	# 漾 -- 270,360
0xB8F1	0x6F41	# 潁 -- 270,361
0xB8F2	0x714A	# 煊 -- 270,362
0xB8F3	0x7192	# 熒 -- 270,363
0xB8F4	0x71B9	# 熹 -- 270,364
0xB8F5	0x71FE	# 燾 -- 270,365
0xB8F6	0x7296	# 犖 -- 270,366
0xB8F7	0x72D9	# 狙 -- 270,367
0xB8F8	0x7521	# 甡 -- 270,370
0xB8F9	0x7540	# 畀 -- 270,371
0xB8FA	0x759D	# 疝 -- 270,372
0xB8FB	0x75B4	# 疴 -- 270,373
0xB8FC	0x75FC	# 痼 -- 270,374
0xB8FD	0x7630	# 瘰 -- 270,375
0xB8FE	0x7667	# 癧 -- 270,376
