
#   "267" UNIHAN

0xB7C9	0x6773	# 杳 -- 267,311
0xB7CA	0x62EE	# 拮 -- 267,312
0xB7CB	0x82D3	# 苓 -- 267,313
0xB7CC	0x6715	# 朕 -- 267,314
0xB7CD	0x65CC	# 旌 -- 267,315
0xB7CE	0x5F2D	# 弭 -- 267,316
0xB7CF	0x62FD	# 拽 -- 267,317
0xB7D0	0x5639	# 嘹 -- 267,320
0xB7D1	0x8490	# 蒐 -- 267,321
0xB7D2	0x613F	# 愿 -- 267,322
0xB7D3	0x822B	# 舫 -- 267,323
0xB7D4	0x6248	# 扈 -- 267,324
0xB7D5	0x96C9	# 雉 -- 267,325
0xB7D6	0x6D79	# 浹 -- 267,326
0xB7D7	0x64C2	# 擂 -- 267,327
0xB7D8	0x75B5	# 疵 -- 267,330
0xB7D9	0x858A	# 薊 -- 267,331
0xB7DA	0x6F62	# 潢 -- 267,332
0xB7DB	0x83C1	# 菁 -- 267,333
0xB7DC	0x7DBA	# 綺 -- 267,334
0xB7DD	0x9798	# 鞘 -- 267,335
0xB7DE	0x6E1A	# 渚 -- 267,336
0xB7DF	0x9AEF	# 髯 -- 267,337
0xB7E0	0x87BB	# 螻 -- 267,340
0xB7E1	0x9438	# 鐸 -- 267,341
0xB7E2	0x9ACF	# 髏 -- 267,342
0xB7E3	0x7FB8	# 羸 -- 267,343
0xB7E4	0x699B	# 榛 -- 267,344
0xB7E5	0x9EDC	# 黜 -- 267,345
0xB7E6	0x7511	# 甑 -- 267,346
0xB7E7	0x93D6	# 鏖 -- 267,347
0xB7E8	0x873F	# 蜿 -- 267,350
0xB7E9	0x79E3	# 秣 -- 267,351
0xB7EA	0x777F	# 睿 -- 267,352
0xB7EB	0x8936	# 褶 -- 267,353
0xB7EC	0x98F4	# 飴 -- 267,354
0xB7ED	0x90AF	# 邯 -- 267,355
0xB7EE	0x9672	# 陲 -- 267,356
0xB7EF	0x52D6	# 勖 -- 267,357
0xB7F0	0x977C	# 靼 -- 267,360
0xB7F1	0x6883	# 梃 -- 267,361
0xB7F2	0x621B	# 戛 -- 267,362
0xB7F3	0x7FAF	# 羯 -- 267,363
0xB7F4	0x61E3	# 懣 -- 267,364
0xB7F5	0x9068	# 遨 -- 267,365
0xB7F6	0x607F	# 恿 -- 267,366
0xB7F7	0x558B	# 喋 -- 267,367
0xB7F8	0x6F82	# 澂 -- 267,370
0xB7F9	0x6C4A	# 汊 -- 267,371
0xB7FA	0x69AD	# 榭 -- 267,372
0xB7FB	0x532D	# 匭 -- 267,373
0xB7FC	0x9095	# 邕 -- 267,374
0xB7FD	0x5769	# 坩 -- 267,375
0xB7FE	0x8DFC	# 跼 -- 267,376
