
#   "242" UNIHAN

0xA2CE	0x53D6	# 取 -- 242,316
0xA2CF	0x7B97	# 算 -- 242,317
0xA2D0	0x66F4	# 更 -- 242,320
0xA2D1	0x5175	# 兵 -- 242,321
0xA2D2	0x9020	# 造 -- 242,322
0xA2D3	0x7B54	# 答 -- 242,323
0xA2D4	0x627E	# 找 -- 242,324
0xA2D5	0x7F77	# 罷 -- 242,325
0xA2D6	0x5931	# 失 -- 242,326
0xA2D7	0x904B	# 運 -- 242,327
0xA2D8	0x5F62	# 形 -- 242,330
0xA2D9	0x6613	# 易 -- 242,331
0xA2DA	0x7FA3	# 羣 -- 242,332
0xA2DB	0x5EA6	# 度 -- 242,333
0xA2DC	0x534A	# 半 -- 242,334
0xA2DD	0x8863	# 衣 -- 242,335
0xA2DE	0x82E5	# 若 -- 242,336
0xA2DF	0x81F3	# 至 -- 242,337
0xA2E0	0x8B70	# 議 -- 242,340
0xA2E1	0x8FD1	# 近 -- 242,341
0xA2E2	0x7167	# 照 -- 242,342
0xA2E3	0x8B8A	# 變 -- 242,343
0xA2E4	0x59D0	# 姐 -- 242,344
0xA2E5	0x670D	# 服 -- 242,345
0xA2E6	0x5247	# 則 -- 242,346
0xA2E7	0x985E	# 類 -- 242,347
0xA2E8	0x82F1	# 英 -- 242,350
0xA2E9	0x7403	# 球 -- 242,351
0xA2EA	0x5343	# 千 -- 242,352
0xA2EB	0x5F80	# 往 -- 242,353
0xA2EC	0x8B1B	# 講 -- 242,354
0xA2ED	0x8A08	# 計 -- 242,355
0xA2EE	0x6230	# 戰 -- 242,356
0xA2EF	0x6728	# 木 -- 242,357
0xA2F0	0x7B11	# 笑 -- 242,360
0xA2F1	0x529F	# 功 -- 242,361
0xA2F2	0x8209	# 舉 -- 242,362
0xA2F3	0x8DDF	# 跟 -- 242,363
0xA2F4	0x795E	# 神 -- 242,364
0xA2F5	0x6C7A	# 決 -- 242,365
0xA2F6	0x6D41	# 流 -- 242,366
0xA2F7	0x71B1	# 熱 -- 242,367
0xA2F8	0x541B	# 君 -- 242,370
0xA2F9	0x7A76	# 究 -- 242,371
0xA2FA	0x7D04	# 約 -- 242,372
0xA2FB	0x96BB	# 隻 -- 242,373
0xA2FC	0x76F4	# 直 -- 242,374
0xA2FD	0x53E4	# 古 -- 242,375
0xA2FE	0x9EC3	# 黃 -- 242,376
