
#   "301" UNIHAN

0xC1C8	0x723B	# 爻 -- 301,310
0xC1CA	0x7349	# 獉 -- 301,312
0xC1CB	0x74BA	# 璺 -- 301,313
0xC1CC	0x7931	# 礱 -- 301,314
0xC1CD	0x70EF	# 烯 -- 301,315
0xC1CE	0x7C09	# 簉 -- 301,316
0xC1CF	0x7C75	# 籵 -- 301,317
0xC1D0	0x7CE8	# 糨 -- 301,320
0xC1D1	0x7E52	# 繒 -- 301,321
0xC1D2	0x7F36	# 缶 -- 301,322
0xC1D3	0x7F87	# 羇 -- 301,323
0xC1D4	0x80F4	# 胴 -- 301,324
0xC1D5	0x81E2	# 臢 -- 301,325
0xC1D6	0x93E2	# 鏢 -- 301,326
0xC1D7	0x8617	# 蘗 -- 301,327
0xC1D8	0x866C	# 虬 -- 301,330
0xC1D9	0x867B	# 虻 -- 301,331
0xC1DA	0x8A92	# 誒 -- 301,332
0xC1DB	0x8C78	# 豸 -- 301,333
0xC1DC	0x9106	# 鄆 -- 301,334
0xC1DD	0x9463	# 鑣 -- 301,335
0xC1DE	0x95C3	# 闃 -- 301,336
0xC1DF	0x95C7	# 闇 -- 301,337
0xC1E0	0x9B01	# 鬁 -- 301,340
0xC1E1	0x9B2F	# 鬯 -- 301,341
0xC1E2	0x9EDF	# 黟 -- 301,342
0xC1E3	0x9EFD	# 黽 -- 301,343
0xC1E4	0x9F10	# 鼐 -- 301,344
0xC1E5	0x4EE1	# 仡 -- 301,345
0xC1E6	0x4EF3	# 仳 -- 301,346
0xC1E7	0x4F08	# 伈 -- 301,347
0xC1E8	0x4F03	# 伃 -- 301,350
0xC1E9	0x4F49	# 佉 -- 301,351
0xC1EA	0x4F4C	# 佌 -- 301,352
0xC1EB	0x4F7D	# 佽 -- 301,353
0xC1EC	0x4F81	# 侁 -- 301,354
0xC1ED	0x4F98	# 侘 -- 301,355
0xC1EE	0x4F9C	# 侜 -- 301,356
0xC1EF	0x4F74	# 佴 -- 301,357
0xC1F0	0x4F79	# 佹 -- 301,360
0xC1F1	0x4F90	# 侐 -- 301,361
0xC1F2	0x4FC5	# 俅 -- 301,362
