
#   "312" UNIHAN

0xCAC6	0x7803	# 砃 -- 312,306
0xCAC7	0x7805	# 砅 -- 312,307
0xCAC8	0x65AB	# 斫 -- 312,310
0xCAC9	0x781F	# 砟 -- 312,311
0xCACA	0x781E	# 砞 -- 312,312
0xCACB	0x7835	# 砵 -- 312,313
0xCACC	0x7823	# 砣 -- 312,314
0xCACD	0x784D	# 硍 -- 312,315
0xCACE	0x7845	# 硅 -- 312,316
0xCACF	0x784B	# 硋 -- 312,317
0xCAD0	0x786A	# 硪 -- 312,320
0xCAD1	0x7888	# 碈 -- 312,321
0xCAD2	0x7896	# 碖 -- 312,322
0xCAD3	0x78D8	# 磘 -- 312,323
0xCAD4	0x7886	# 碆 -- 312,324
0xCAD5	0x787E	# 硾 -- 312,325
0xCAD6	0x78B6	# 碶 -- 312,326
0xCAD7	0x78B4	# 碴 -- 312,327
0xCAD8	0x78A1	# 碡 -- 312,330
0xCAD9	0x78AC	# 碬 -- 312,331
0xCADA	0x78AF	# 碯 -- 312,332
0xCADB	0x78C7	# 磇 -- 312,333
0xCADC	0x78D3	# 磓 -- 312,334
0xCADD	0x78C9	# 磉 -- 312,335
0xCADE	0x78D1	# 磑 -- 312,336
0xCADF	0x78C8	# 磈 -- 312,337
0xCAE0	0x78E0	# 磠 -- 312,340
0xCAE1	0x78DB	# 磛 -- 312,341
0xCAE2	0x78DF	# 磟 -- 312,342
0xCAE3	0x78F9	# 磹 -- 312,343
0xCAE4	0x791E	# 礞 -- 312,344
0xCAE5	0x7927	# 礧 -- 312,345
0xCAE6	0x794A	# 祊 -- 312,346
0xCAE7	0x7959	# 祙 -- 312,347
0xCAE8	0x7986	# 禆 -- 312,350
0xCAE9	0x79A0	# 禠 -- 312,351
0xCAEA	0x799A	# 禚 -- 312,352
0xCAEB	0x799C	# 禜 -- 312,353
0xCAEC	0x79A2	# 禢 -- 312,354
0xCAED	0x79C6	# 秆 -- 312,355
0xCAEE	0x79E0	# 秠 -- 312,356
0xCAEF	0x79F4	# 秴 -- 312,357
0xCAF0	0x79F7	# 秷 -- 312,360
0xCAF1	0x79F8	# 秸 -- 312,361
0xCAF2	0x7A1B	# 稛 -- 312,362
0xCAF3	0x7A44	# 穄 -- 312,363
0xCAF4	0x7A5C	# 穜 -- 312,364
0xCAF5	0x7A6E	# 穮 -- 312,365
0xCAF6	0x7A6D	# 穭 -- 312,366
0xCAF7	0x7A8B	# 窋 -- 312,367
0xCAF8	0x7A8C	# 窌 -- 312,370
0xCAF9	0x7A94	# 窔 -- 312,371
0xCAFA	0x7AC1	# 竁 -- 312,372
0xCAFB	0x7AC2	# 竂 -- 312,373
0xCAFC	0x6181	# 憁 -- 312,374
0xCAFD	0x7B0E	# 笎 -- 312,375
0xCAFE	0x7B30	# 笰 -- 312,376
