
#   "276" UNIHAN

0xBEC5	0x9C3B	# 鰻 -- 276,305
0xBEC6	0x9DF2	# 鷲 -- 276,306
0xBEC7	0x9E83	# 麃 -- 276,307
0xBEC8	0x9E88	# 麈 -- 276,310
0xBEC9	0x9F72	# 齲 -- 276,311
0xBECA	0x504C	# 偌 -- 276,312
0xBECB	0x5108	# 儈 -- 276,313
0xBECC	0x51DF	# 凟 -- 276,314
0xBECD	0x526E	# 剮 -- 276,315
0xBECE	0x5A09	# 娉 -- 276,316
0xBECF	0x5A77	# 婷 -- 276,317
0xBED0	0x5B4C	# 孌 -- 276,320
0xBED1	0x5B73	# 孳 -- 276,321
0xBED2	0x5BF0	# 寰 -- 276,322
0xBED3	0x53F5	# 叵 -- 276,323
0xBED4	0x54C2	# 哂 -- 276,324
0xBED5	0x54C6	# 哆 -- 276,325
0xBED6	0x55DF	# 嗟 -- 276,326
0xBED7	0x56EB	# 囫 -- 276,327
0xBED8	0x5707	# 圇 -- 276,330
0xBED9	0x62D7	# 拗 -- 276,331
0xBEDA	0x579B	# 垛 -- 276,332
0xBEDB	0x584D	# 塍 -- 276,333
0xBEDC	0x58A9	# 墩 -- 276,334
0xBEDD	0x5D3D	# 崽 -- 276,335
0xBEDE	0x5D4B	# 嵋 -- 276,336
0xBEDF	0x5E54	# 幔 -- 276,337
0xBEE0	0x5ED5	# 廕 -- 276,340
0xBEE1	0x5FAD	# 徭 -- 276,341
0xBEE2	0x600D	# 怍 -- 276,342
0xBEE3	0x6035	# 怵 -- 276,343
0xBEE4	0x60F4	# 惴 -- 276,344
0xBEE5	0x6192	# 憒 -- 276,345
0xBEE6	0x6207	# 戇 -- 276,346
0xBEE7	0x6225	# 戥 -- 276,347
0xBEE8	0x6286	# 抆 -- 276,350
0xBEE9	0x62C4	# 拄 -- 276,351
0xBEEA	0x634B	# 捋 -- 276,352
0xBEEB	0x634E	# 捎 -- 276,353
0xBEEC	0x6382	# 掂 -- 276,354
0xBEED	0x6522	# 攢 -- 276,355
0xBEEE	0x66B1	# 暱 -- 276,356
0xBEEF	0x6748	# 杈 -- 276,357
0xBEF0	0x67C1	# 柁 -- 276,360
0xBEF1	0x6A5B	# 橛 -- 276,361
0xBEF2	0x6A28	# 樨 -- 276,362
0xBEF3	0x6AFA	# 櫺 -- 276,363
0xBEF4	0x6BBD	# 殽 -- 276,364
0xBEF5	0x6CD4	# 泔 -- 276,365
0xBEF6	0x6CEF	# 泯 -- 276,366
0xBEF7	0x6E98	# 溘 -- 276,367
0xBEF8	0x7078	# 灸 -- 276,370
0xBEF9	0x733A	# 猺 -- 276,371
0xBEFA	0x75A3	# 疣 -- 276,372
0xBEFB	0x75BF	# 疿 -- 276,373
0xBEFC	0x7643	# 癃 -- 276,374
0xBEFD	0x76B4	# 皴 -- 276,375
0xBEFE	0x77BD	# 瞽 -- 276,376
