
#   "255" UNIHAN

0xADC7	0x4F8B	# 例 -- 255,307
0xADC8	0x73B2	# 玲 -- 255,310
0xADC9	0x549A	# 咚 -- 255,311
0xADCA	0x9D3B	# 鴻 -- 255,312
0xADCB	0x6F70	# 潰 -- 255,313
0xADCC	0x62AB	# 披 -- 255,314
0xADCD	0x5FB9	# 徹 -- 255,315
0xADCE	0x5E7D	# 幽 -- 255,316
0xADCF	0x6CF3	# 泳 -- 255,317
0xADD0	0x7662	# 癢 -- 255,320
0xADD1	0x6524	# 攤 -- 255,321
0xADD2	0x5C51	# 屑 -- 255,322
0xADD3	0x72F9	# 狹 -- 255,323
0xADD4	0x5EC1	# 廁 -- 255,324
0xADD5	0x5098	# 傘 -- 255,325
0xADD6	0x9175	# 酵 -- 255,326
0xADD7	0x92E4	# 鋤 -- 255,327
0xADD8	0x6C55	# 汕 -- 255,330
0xADD9	0x9131	# 鄱 -- 255,331
0xADDA	0x93C8	# 鏈 -- 255,332
0xADDB	0x55E1	# 嗡 -- 255,333
0xADDC	0x63AA	# 措 -- 255,334
0xADDD	0x9102	# 鄂 -- 255,335
0xADDE	0x6A58	# 橘 -- 255,336
0xADDF	0x6488	# 撈 -- 255,337
0xADE0	0x97FB	# 韻 -- 255,340
0xADE1	0x7E6D	# 繭 -- 255,341
0xADE2	0x8ABC	# 誼 -- 255,342
0xADE3	0x50A2	# 傢 -- 255,343
0xADE4	0x5F6C	# 彬 -- 255,344
0xADE5	0x743F	# 琿 -- 255,345
0xADE6	0x5678	# 噸 -- 255,346
0xADE7	0x5FCC	# 忌 -- 255,347
0xADE8	0x7A3D	# 稽 -- 255,350
0xADE9	0x6790	# 析 -- 255,351
0xADEA	0x8A3A	# 診 -- 255,352
0xADEB	0x6607	# 昇 -- 255,353
0xADEC	0x8258	# 艘 -- 255,354
0xADED	0x6C5D	# 汝 -- 255,355
0xADEE	0x90E1	# 郡 -- 255,356
0xADEF	0x4EFF	# 仿 -- 255,357
0xADF0	0x964B	# 陋 -- 255,360
0xADF1	0x832B	# 茫 -- 255,361
0xADF2	0x8E44	# 蹄 -- 255,362
0xADF3	0x5109	# 儉 -- 255,363
0xADF4	0x6B6A	# 歪 -- 255,364
0xADF5	0x6A1E	# 樞 -- 255,365
0xADF6	0x9E79	# 鹹 -- 255,366
0xADF7	0x883B	# 蠻 -- 255,367
0xADF8	0x626D	# 扭 -- 255,370
0xADF9	0x6F64	# 潤 -- 255,371
0xADFA	0x6454	# 摔 -- 255,372
0xADFB	0x52C1	# 勁 -- 255,373
0xADFC	0x745F	# 瑟 -- 255,374
0xADFD	0x6979	# 楹 -- 255,375
0xADFE	0x6CCC	# 泌 -- 255,376
