
#   "266" UNIHAN

0xB6C9	0x7CE2	# 糢 -- 266,311
0xB6CA	0x87DD	# 蟝 -- 266,312
0xB6CB	0x8D76	# 赶 -- 266,313
0xB6CC	0x9824	# 頤 -- 266,314
0xB6CD	0x63A3	# 掣 -- 266,315
0xB6CE	0x81FE	# 臾 -- 266,316
0xB6CF	0x5A7F	# 婿 -- 266,317
0xB6D0	0x6518	# 攘 -- 266,320
0xB6D1	0x6DAF	# 涯 -- 266,321
0xB6D2	0x63AC	# 掬 -- 266,322
0xB6D3	0x8018	# 耘 -- 266,323
0xB6D4	0x640F	# 搏 -- 266,324
0xB6D5	0x6627	# 昧 -- 266,325
0xB6D6	0x8403	# 萃 -- 266,326
0xB6D7	0x725F	# 牟 -- 266,327
0xB6D8	0x7F54	# 罔 -- 266,330
0xB6D9	0x6D5A	# 浚 -- 266,331
0xB6DA	0x74BD	# 璽 -- 266,332
0xB6DB	0x8006	# 耆 -- 266,333
0xB6DC	0x560D	# 嘍 -- 266,334
0xB6DD	0x8076	# 聶 -- 266,335
0xB6DE	0x8AEB	# 諫 -- 266,336
0xB6DF	0x585A	# 塚 -- 266,337
0xB6E0	0x85D0	# 藐 -- 266,340
0xB6E1	0x6689	# 暉 -- 266,341
0xB6E2	0x54EE	# 哮 -- 266,342
0xB6E3	0x6292	# 抒 -- 266,343
0xB6E4	0x5043	# 偃 -- 266,344
0xB6E5	0x8A15	# 訕 -- 266,345
0xB6E6	0x5CAB	# 岫 -- 266,346
0xB6E7	0x6CAE	# 沮 -- 266,347
0xB6E8	0x82BB	# 芻 -- 266,350
0xB6E9	0x6DC7	# 淇 -- 266,351
0xB6EA	0x80DB	# 胛 -- 266,352
0xB6EB	0x6968	# 楨 -- 266,353
0xB6EC	0x5331	# 匱 -- 266,354
0xB6ED	0x60D5	# 惕 -- 266,355
0xB6EE	0x8A63	# 詣 -- 266,356
0xB6EF	0x71E7	# 燧 -- 266,357
0xB6F0	0x5D1B	# 崛 -- 266,360
0xB6F1	0x613E	# 愾 -- 266,361
0xB6F2	0x8559	# 蕙 -- 266,362
0xB6F3	0x83A0	# 莠 -- 266,363
0xB6F4	0x6994	# 榔 -- 266,364
0xB6F5	0x63CD	# 揍 -- 266,365
0xB6F6	0x777D	# 睽 -- 266,366
0xB6F7	0x78AD	# 碭 -- 266,367
0xB6F8	0x6ECE	# 滎 -- 266,370
0xB6F9	0x749C	# 璜 -- 266,371
0xB6FA	0x6C28	# 氨 -- 266,372
0xB6FB	0x73E3	# 珣 -- 266,373
0xB6FC	0x5471	# 呱 -- 266,374
0xB6FD	0x6153	# 慓 -- 266,375
0xB6FE	0x701F	# 瀟 -- 266,376
