
#   "263" UNIHAN

0xB3C8	0x785D	# 硝 -- 263,310
0xB3C9	0x8392	# 莒 -- 263,311
0xB3CA	0x921E	# 鈞 -- 263,312
0xB3CB	0x9F94	# 龔 -- 263,313
0xB3CC	0x67DA	# 柚 -- 263,314
0xB3CD	0x79C9	# 秉 -- 263,315
0xB3CE	0x5862	# 塢 -- 263,316
0xB3CF	0x8B28	# 謨 -- 263,317
0xB3D0	0x745B	# 瑛 -- 263,320
0xB3D1	0x97F6	# 韶 -- 263,321
0xB3D2	0x93B3	# 鎳 -- 263,322
0xB3D3	0x6CD7	# 泗 -- 263,323
0xB3D4	0x5B5C	# 孜 -- 263,324
0xB3D5	0x9D61	# 鵡 -- 263,325
0xB3D6	0x7784	# 瞄 -- 263,326
0xB3D7	0x55EF	# 嗯 -- 263,327
0xB3D8	0x5944	# 奄 -- 263,330
0xB3D9	0x7F8C	# 羌 -- 263,331
0xB3DA	0x74CF	# 瓏 -- 263,332
0xB3DB	0x83A8	# 莨 -- 263,333
0xB3DC	0x610D	# 愍 -- 263,334
0xB3DD	0x8AE6	# 諦 -- 263,335
0xB3DE	0x6DBF	# 涿 -- 263,336
0xB3DF	0x912F	# 鄯 -- 263,337
0xB3E0	0x561F	# 嘟 -- 263,340
0xB3E1	0x6FFC	# 濼 -- 263,341
0xB3E2	0x6D31	# 洱 -- 263,342
0xB3E3	0x62C7	# 拇 -- 263,343
0xB3E4	0x4FCF	# 俏 -- 263,344
0xB3E5	0x7736	# 眶 -- 263,345
0xB3E6	0x7CDC	# 糜 -- 263,346
0xB3E7	0x64B0	# 撰 -- 263,347
0xB3E8	0x6960	# 楠 -- 263,350
0xB3E9	0x72FD	# 狽 -- 263,351
0xB3EA	0x745A	# 瑚 -- 263,352
0xB3EB	0x7A96	# 窖 -- 263,353
0xB3EC	0x6FEC	# 濬 -- 263,354
0xB3ED	0x6670	# 晰 -- 263,355
0xB3EE	0x90B8	# 邸 -- 263,356
0xB3EF	0x91C9	# 釉 -- 263,357
0xB3F0	0x768E	# 皎 -- 263,360
0xB3F1	0x64A9	# 撩 -- 263,361
0xB3F2	0x5140	# 兀 -- 263,362
0xB3F3	0x7A92	# 窒 -- 263,363
0xB3F4	0x53A5	# 厥 -- 263,364
0xB3F5	0x55A7	# 喧 -- 263,365
0xB3F6	0x6F2C	# 漬 -- 263,366
0xB3F7	0x6221	# 戡 -- 263,367
0xB3F8	0x5A9B	# 媛 -- 263,370
0xB3F9	0x6AB3	# 檳 -- 263,371
0xB3FA	0x8200	# 舀 -- 263,372
0xB3FB	0x84BF	# 蒿 -- 263,373
0xB3FC	0x7827	# 砧 -- 263,374
0xB3FD	0x8466	# 葦 -- 263,375
0xB3FE	0x5CEA	# 峪 -- 263,376
