"Marked","File Name","Folder","Size","Created","Modified","File type","Hash","Group","Hard-links","Artist","Title","Album","Length","Bit rate","Sample rate","Image width","Image height","Unused","ZipFlag"
0,"helvetica14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3428,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",11,0,"","","","","","",,,,-1
0,"helvetica14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",2344,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",11,0,"","","","","","",,,,-1
0,"helvetica14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",2104,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",11,0,"","","","","","",,,,-1
0,"helvetica14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",2290,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",11,0,"","","","","","",,,,-1
0,"helvetica16.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",2586,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",12,0,"","","","","","",,,,-1
0,"helvetica16.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3718,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",12,0,"","","","","","",,,,-1
0,"helvetica18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",3238,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",13,0,"","","","","","",,,,-1
0,"helvetica18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",4592,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",13,0,"","","","","","",,,,-1
0,"helvetica18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",3276,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",13,0,"","","","","","",,,,-1
0,"helvetica18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",3474,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",13,0,"","","","","","",,,,-1
0,"helvetica18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",3354,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",13,0,"","","","","","",,,,-1
0,"helvetica8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1102,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",14,0,"","","","","","",,,,-1
0,"helvetica8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",1622,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",14,0,"","","","","","",,,,-1
0,"helvetica8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",1426,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",14,0,"","","","","","",,,,-1
0,"helvetica8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1114,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",14,0,"","","","","","",,,,-1
0,"helvetica8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",1282,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",14,0,"","","","","","",,,,-1
0,"helvetica9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1314,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",15,0,"","","","","","",,,,-1
0,"helvetica9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",1908,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",15,0,"","","","","","",,,,-1
0,"helvetica9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1210,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",15,0,"","","","","","",,,,-1
0,"helvetica9.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",1402,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",15,0,"","","","","","",,,,-1
0,"hippo10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1294,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",16,0,"","","","","","",,,,-1
0,"hippo10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1250,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",16,0,"","","","","","",,,,-1
0,"hippo12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1634,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",17,0,"","","","","","",,,,-1
0,"hippo12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",1822,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",17,0,"","","","","","",,,,-1
0,"hippo8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",874,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",18,0,"","","","","","",,,,-1
0,"hippo8.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",862,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",18,0,"","","","","","",,,,-1
0,"oldenglish10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1302,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",19,0,"","","","","","",,,,-1
